icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
K5J0,5J0,,John Day,OR,US,44.3833333333,-118.966666667,1127,8,K5J0
KTYR,TYR,,Tyler,TX,US,32.35,-95.4,165,4,KTYR
KOQU,OQU,,N. Kingston,RI,US,41.61,-71.42,6,7,KOQU
KUIL,UIL,72797,Quillayute,WA,US,47.96,-124.55,54,2,KUIL
KLWA,LWA,,South Haven,MI,US,42.351,-86.256,203,8,KLWA
KREJ,REJ,72661,Redig,SD,US,45.22,-103.61,955,8,KREJ
KRDU,RDU,72306,Raleigh-Durham,NC,US,35.88,-78.78,130,2,KRDU
KMGM,MGM,72226,Montgomery,AL,US,32.3,-86.4,63,4,KMGM
KDMW,DMW,,Westminster,MD,US,39.61,-77.05,188,8,KDMW
KJAY,JAY,,Jay Peak,VT,US,44.97,-72.56,355,8,KJAY
KESC,ESC,72648,Escanaba,MI,US,45.73,-87.08,187,7,KESC
KJKL,JKL,,Jackson,KY,US,37.58,-83.32,416,5,KJKL
KLAA,LAA,72463,Lamar,CO,US,38.07,-102.68,1119,4,KLAA
KUCA,UCA,,Utica,NY,US,43.15,-75.3833333333,228,4,KUCA
MUHA,,78224,Havana,,CU,22.98,-82.4,64,0,MUHA
KBVX,BVX,,Batesville,AR,US,35.73,-91.65,141,7,KBVX
KHKY,HKY,,Hickory,NC,US,35.76,-81.38,354,6,KHKY
KAUS,AUS,72254,Austin,TX,US,30.183,-97.68,166,3,KAUS
KSLE,SLE,72694,Salem,OR,US,44.93,-123.02,59,2,KSLE
KNBK,NBK,,New Brunswick,NJ,US,40.47,-74.4,25,8,KNBK
KVCT,VCT,72255,Victoria,TX,US,28.86,-96.92,31,6,KVCT
KFMY,FMY,,Fort Myers/Page Field,FL,US,26.58,-81.87,4,6,KFMY
KMCO,MCO,72205,Orlando Jetport,FL,US,28.43,-81.32,29,2,KMCO
MUBY,,,Bayamo,,CU,20.4,-76.6166666667,64,7,MUBY
KCCR,CCR,,Concord,CA,US,37.98,-122.05,11,7,KCCR
MMNL,NLD,,Nuevo Laredo,,MX,27.43,-99.57,148,6,MMNL
KFHU,FHU,72273,Fort Huachuca,AZ,US,31.58,-110.33,1438,6,KFHU
KLRU,LRU,,Las Cruces,NM,US,32.289,-106.922,1358,7,KLRU
KISQ,ISQ,,Manistique,MI,US,45.97,-86.17,209,7,KISQ
KLVS,LVS,,Las Vegas,NM,US,35.66,-105.15,2091,3,KLVS
K40B,40B,,Clayton Lake,ME,US,46.62,-69.52,314,8,K40B
KVBG,VBG,72393,Vandenberg AFB,CA,US,34.75,-120.57,112,3,KVBG
KCDS,CDS,,Childress,TX,US,34.4275,-100.284,594,3,KCDS
KTTD,TTD,,Troutdale,OR,US,45.55,-122.4,14,6,KTTD
KBFI,BFI,,Seattle/Boeing Field,WA,US,47.53,-122.3,4,1,KBFI
KLAS,LAS,72386,Las Vegas,NV,US,36.09,-115.17,636,2,KLAS
KCOD,COD,72670,Cody,WY,US,44.53,-109.02,1553,3,KCOD
KJXN,JXN,,Jackson,MI,US,42.27,-84.47,305,6,KJXN
KLFK,LFK,,Lufkin,TX,US,31.23,-94.75,88,6,KLFK
KHSV,HSV,72323,Huntsville,AL,US,34.66,-86.77,191,4,KHSV
KLGU,LGU,,Logan-Cache,UT,US,41.79,-111.85,1355,6,KLGU
KU24,U24,72479,Delta,UT,US,39.34,-112.59,1414,7,KU24
KPKB,PKB,72427,Parkersburg,WV,US,39.36,-81.43,262,6,KPKB
KVSF,VSF,,Springfield,VT,US,43.34,-72.52,175,7,KVSF
KSLK,SLK,,Saranac Lake,NY,US,44.39,-74.21,498,6,KSLK
KLOR,LOR,,Ft. Rucker,AL,US,31.356,-85.751,74,7,KLOR
KFWD,FWD,72249,Ft. Worth,TX,US,32.8166666667,-97.2833333333,196,8,KFWD
KP53,P53,,Munising,MI,US,46.412,-86.651,187,7,KP53
KEDW,EDW,72381,Edwards AFB,CA,US,34.91,-117.87,702,3,KEDW
KPUW,PUW,,Pullman,WA,US,46.76,-117.12,773,7,KPUW
KHLN,HLN,72772,Helena,MT,US,46.61,-112.0,1182,4,KHLN
KABE,ABE,72517,Allentown-Bethlehem,PA,US,40.66,-75.43,114,6,KABE
KHVL,HVL,74541,Haviland Profiler,KS,US,37.63,-99.04,635,8,KHVL
KALB,ALB,72518,Albany County,NY,US,42.76,-73.8,92,3,KALB
KAOO,AOO,,Altoona,PA,US,40.3,-78.32,455,6,KAOO
KIRK,IRK,,Kirksville,MO,US,40.15,-92.53,272,6,KIRK
KVEL,VEL,,Vernal,UT,US,40.44,-109.51,1604,6,KVEL
KMTJ,MTJ,,Montrose,CO,US,38.51,-107.88,1750,6,KMTJ
KRUT,RUT,,Rutland,VT,US,43.54,-72.95,240,7,KRUT
,HBR,74546,Hillsboro Profiler,KS,US,38.33,-97.23,446,8,HBR
MMCL,CUL,76412,Culiacan,,MX,24.82,-107.4,39,6,MMCL
MMDO,DGO,76423,Durango,,MX,24.13,-104.53,1857,1,MMDO
KNKX,NKX,72293,Miramar NAS,CA,US,32.88,-117.15,146,5,KNKX
KPIE,PIE,,St. Petersburg,FL,US,27.91,-82.69,4,6,KPIE
KPBF,PBF,,Pine Bluff,AR,US,34.18,-91.93,62,6,KPBF
CYYJ,YYJ,71799,Victoria Intl,BC,CA,48.66,-123.43,19,6,CYYJ
KPEQ,PEQ,,Pecos,TX,US,31.382,-103.511,797,8,KPEQ
KEGC,EGC,,Everglades City,FL,US,25.89,-81.32,2,7,KEGC
CYZT,YZT,71109,Port Hardy,BC,CA,50.69,-127.37,22,0,CYZT
KBFF,BFF,72566,Scottsbluff,NE,US,41.88,-103.6,1203,6,KBFF
CYQQ,YQQ,71893,Comox,BC,CA,49.73,-124.9,24,6,CYQQ
MMUN,CUN,76595,Cancun,,MX,21.03,-86.87,10,1,MMUN
KRNT,RNT,,Renton,WA,US,47.5,-122.22,21,7,KRNT
KBJC,BJC,,Broomfield,CO,US,39.909,-105.117,1724,1,KBJC
KTCS,TCS,72271,Truth Or Consequences,NM,US,33.23,-107.27,1469,6,KTCS
KSTL,STL,72434,St. Louis/Lambert,MO,US,38.76,-90.37,171,0,KSTL
KPNC,PNC,,Ponca City,OK,US,36.73,-97.1,308,6,KPNC
KBOI,BOI,72681,Boise,ID,US,43.58,-116.22,875,0,KBOI
KELO,ELO,,Ely,MN,US,47.91,-91.82,443,7,KELO
KCON,CON,72605,Concord,NH,US,43.21,-71.5,103,6,KCON
KOAJ,OAJ,,Jacksonville,NC,US,34.83,-77.62,29,7,KOAJ
,TCU,74731,Tucumcari Profiler,NM,US,35.06,-103.6,1268,8,TCU
KLWM,LWM,,Lawrence,MA,US,42.73,-71.12,54,7,KLWM
K87Q,87Q,72390,Punta Piedras,CA,US,35.76,-121.28,262,7,K87Q
MUGM,,78367,Guantanamo Bay,CU,CU,19.906,-75.207,17,6,MUGM
KLOL,LOL,72580,Lovelock,NV,US,40.08,-118.55,1189,6,KLOL
KRCZ,RCZ,,Rockingham,NC,US,34.891,-79.759,109,7,KRCZ
KCEC,CEC,,Crescent City,CA,US,41.79,-124.24,17,6,KCEC
KGNV,GNV,,Gainesville,FL,US,29.68,-82.27,45,4,KGNV
KALS,ALS,72462,Alamosa,CO,US,37.46,-105.87,2299,6,KALS
KLAX,LAX,72295,Los Angeles,CA,US,33.94,-118.4,46,0,KLAX
KBRD,BRD,,Brainerd,MN,US,46.4,-94.13,372,4,KBRD
CYCX,YCX,71701,Gagetown,NB,CA,45.84,-66.43,51,6,CYCX
KSTF,STF,,Starkville,MS,US,33.49,-88.84,83,8,KSTF
KOTX,OTX,72786,Spokane WFO,WA,US,47.68,-117.63,727,8,KOTX
