icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
TJPS,,,Ponce/Mercedita,PR,US,18.02,-66.57,9,6,tjps
,FBY,74440,Fairbury Profiler,NE,US,40.1,-97.34,433,8,p#8
,,,999140,,,35.7,139.3,139,7,999140
KBML,BML,72616,Berlin Muni,NH,US,44.59,-71.18,345,7,kbml
KICT,ICT,72450,Wichita,KS,US,37.66,-97.43,407,3,kict
,,,mac,,,61.32,-142.59,967,7,mac
KDTW,DTW,72537,Detroit Metro,MI,US,42.23,-83.33,195,1,kdtw
KLMO,,,Longmont/Table Mountain,CO,US,40.13,-105.24,1689,8,tbl
KSLE,SLE,72694,Salem,OR,US,44.93,-123.02,59,2,ksle
KFLO,FLO,,Florence Rgnl,SC,US,34.19,-79.72,44,6,kflo
,,,176060,,,35.15,33.28,224,7,176060
MMMT,MTT,,Minatitlan,,MX,18.1,-94.58,40,6,mmmt
KPAH,PAH,72435,Paducah,KY,US,37.07,-88.77,119,3,kpah
KGRR,GRR,72635,Grand Rapids Intl,MI,US,42.89,-85.52,237,3,kgrr
KTRI,TRI,,Tri-City/Bristol,TN,US,36.48,-82.4,474,4,ktri
,,,cln,,,31.71,-89.41,55,7,cln
,,74641,Vici,OK,US,36.0666666667,-99.3333333333,622,8,746410
KDNR,DNR,72469,Denver/Stapleton,CO,US,39.75,-104.87,1611,7,den
K9B6,9B6,,Sewel Ridge,ME,US,43.0,-68.0,150,8,9b6
MMSD,SJD,,San Jose Del Cabo,,MX,23.15,-109.7,109,6,mmsd
KPSN,PSN,,Palestine Muni,TX,US,31.78,-95.71,119,7,p#u
KGUP,GUP,,Gallup,NM,US,35.53,-108.78,1971,6,kgup
CYTS,YTS,71739,Timmins,ON,CA,48.58,-81.38,295,6,cyts
MMCS,CJS,,Cuidad Juarez Intl,,MX,31.63,-106.43,1171,6,mmcs
KBFL,BFL,72384,Bakersfield,CA,US,35.43,-119.05,151,6,kbfl
,,,hay,,,65.2,-161.15,92,7,hay
,,,000261,,,43.78,-87.85,233,7,000261
KIGM,IGM,72370,Kingman,AZ,US,35.28,-113.95,1032,7,igm
,,,044017,,,40.7,-72.1,0,7,044017
KSTP,STP,,St. Paul,MN,US,44.94,-93.05,219,1,kstp
MPSA,,78795,Santiago,,PA,8.06666666667,-80.9333333333,83,7,mpsa
ESGJ,,2550,Jonkoping Airport,,SE,57.7666666667,14.0666666667,232,6,702550
PAKW,AKW,,Klawock,AK,US,55.562,-133.085,15,7,pakw
KSMN,SMN,72686,Salmon,ID,US,45.12,-113.88,1233,6,smn
CYZT,YZT,71109,Port Hardy,BC,CA,50.69,-127.37,22,0,cyzt
,,,pls,,,67.75,-149.0,1130,7,pls
CYOW,YOW,71628,Ottawa Intl,ON,CA,45.33,-75.67,114,2,cyow
,,,kkl,,,40.2,-92.6,272,7,kkl
,CNW,74550,Conway Profiler,MO,US,37.52,-92.7,390,8,p#h
KBCE,BCE,,Bryce Canyon,UT,US,37.71,-112.16,2312,6,kbce
CYZV,YZV,71811,Sept Iles,QB,CA,50.23,-66.27,55,5,cyzv
,,,000279,,,40.72,-122.43,459,7,000279
CYUL,YUL,71627,Montreal/Dorval,QB,CA,45.47,-73.75,36,0,cyul
PAPG,PSG,70386,Petersburg,AK,US,56.82,-132.945,15,6,papg
,,,000295,,,38.51,-122.96,30,7,000295
KACK,ACK,72506,Nantucket Memorial,MA,US,41.26,-70.07,16,2,kack
KEND,END,,Enid/Vance AFB,OK,US,36.34,-97.9,398,4,end
KVBG,VBG,72393,Vandenberg AFB,CA,US,34.75,-120.57,112,3,vbg
KPLN,PLN,,Pellston,MI,US,45.58,-84.8,217,6,kpln
,,,grun,,,37.27,-82.1,320,7,grun
KBTM,BTM,,Butte/Silver Bow,MT,US,45.96,-112.5,1688,6,kbtm
KY22,Y22,72669,Lemmon,SD,US,45.9166666667,-102.166666667,781,7,ky22
,OKO,74769,Okolona Profiler,MS,US,34.09,-88.86,125,8,p#x
