icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,,,,29.4925,-129.2169,0,,29.4925N129.2169W
,,,,,,29.9707,-126.811,0,,29.9707N126.811W
,,,,,,31.5375,-139.314,0,,31.5375N139.314W
,,,,,,25.6518,-139.142,0,,25.6518N139.142W
,,,,,,25.411,-152.1043,0,,25.411N152.1043W
,,,,,,31.5312,-138.332,0,,31.5312N138.332W
,,,,,,29.0863,-125.6052,0,,29.0863N125.6052W
,,,,,,33.4044,-146.4285,0,,33.4044N146.4285W
,,,,,,36.3446,-115.5006,0,,36.3446N115.5006W
,,,,,,28.7636,-111.478,0,,28.7636N111.478W
,,,,,,40.6993,-160.0683,0,,40.6993N160.0683W
,,,,,,38.1517,-150.6214,0,,38.1517N150.6214W
,,,,,,23.1151,-153.0124,0,,23.1151N153.0124W
,,,,,,33.469,-126.78,0,,33.469N126.78W
,,,,,,24.7175,-115.7514,0,,24.7175N115.7514W
,,,,,,30.5663,-158.1103,0,,30.5663N158.1103W
,,,,,,34.0358,-152.2986,0,,34.0358N152.2986W
,,,,,,35.5072,-130.2481,0,,35.5072N130.2481W
,,,,,,25.4273,-135.2667,0,,25.4273N135.2667W
,,,,,,32.0896,-155.0398,0,,32.0896N155.0398W
,,,,,,37.937,-129.7126,0,,37.937N129.7126W
,,,,,,27.6985,-138.0829,0,,27.6985N138.0829W
,,,,,,25.644,-137.4064,0,,25.644N137.4064W
,,,,,,23.6199,-109.662,0,,23.6199N109.662W
,,,,,,26.0851,-129.9408,0,,26.0851N129.9408W
,,,,,,33.8282,-143.0611,0,,33.8282N143.0611W
,,,,,,33.0032,-153.9603,0,,33.0032N153.9603W
,,,,,,25.8485,-113.3878,0,,25.8485N113.3878W
,,,,,,23.8714,-149.0945,0,,23.8714N149.0945W
,,,,,,24.9602,-110.8403,0,,24.9602N110.8403W
,,,,,,34.0276,-155.7101,0,,34.0276N155.7101W
,,,,,,23.7356,-147.2022,0,,23.7356N147.2022W
,,,,,,31.3379,-142.5836,0,,31.3379N142.5836W
,,,,,,35.3672,-132.553,0,,35.3672N132.553W
,,,,,,37.5244,-137.4379,0,,37.5244N137.4379W
,,,,,,34.0477,-121.7549,0,,34.0477N121.7549W
,,,,,,44.0376,-160.3931,0,,44.0376N160.3931W
,,,,,,31.4385,-128.7516,0,,31.4385N128.7516W
,,,,,,22.3026,-133.5803,0,,22.3026N133.5803W
,,,,,,45.3992,-144.6469,0,,45.3992N144.6469W
,,,,,,28.2624,-116.9399,0,,28.2624N116.9399W
,,,,,,28.3141,-125.1522,0,,28.3141N125.1522W
,,,,,,25.006,-153.0137,0,,25.006N153.0137W
,,,,,,36.241,-133.4497,0,,36.241N133.4497W
,,,,,,31.543,-117.4903,0,,31.543N117.4903W
,,,,,,35.3137,-160.1087,0,,35.3137N160.1087W
,,,,,,26.2214,-143.1961,0,,26.2214N143.1961W
,,,,,,37.0426,-128.6035,0,,37.0426N128.6035W
,,,,,,25.9454,-107.103,0,,25.9454N107.103W
,,,,,,27.8874,-114.5178,0,,27.8874N114.5178W
,,,,,,29.1095,-158.7714,0,,29.1095N158.7714W
,,,,,,32.0649,-125.4824,0,,32.0649N125.4824W
,,,,,,25.9943,-127.9877,0,,25.9943N127.9877W
,,,,,,34.3168,-156.9226,0,,34.3168N156.9226W
