icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,5af,,,56.0,-137.0,0,7,5af
,,,5ag,,,58.0,-142.0,0,7,5ag
PADT,DDT,,Slana Airport,AK,US,62.72,-143.97,687,7,5sz
,,,a#2,,,74.3,-156.6,0,7,a#2
,,,a#3,,,75.0,-140.0,0,7,a#3
,,,a#4,,,60.6,-173.3,0,7,a#4
,,,a#5,,,54.0,-143.0,0,7,a#5
,,,a#6,,,55.0,-155.0,0,7,a#6
,,,a#7,,,53.0,-139.0,0,7,a#7
,,,a#8,,,51.1,-147.4,0,7,a#8
,,,a#9,,,52.0,-162.0,0,7,a#9
,,,a#a,,,49.5,-153.7,0,7,a#a
,,,a#b,,,49.2,-168.8,0,7,a#b
,,,a#c,,,59.89,-161.88,1,7,a#c
,,,a#d,,,60.51,-149.82,667,7,a#d
,,,a#e,,,60.97,-149.25,640,7,a#e
KAHN,AHN,72311,Athens Muni,GA,US,33.96,-83.32,244,4,ahn
,,,awr,,,67.75,-144.11,686,7,awr
,,,b49,,,18.0,-67.04,65,7,b49
,,,b#c,,,56.3,-148.2,0,7,b#c
,,,bdp,,,69.5,-156.5,96,7,bdp
,,,b#e,,,51.9,-155.9,0,7,b#e
,,,b#f,,,46.1,-131.0,0,7,b#f
,,70027,Barrow ARM-NSA,AK,US,71.32,-156.62,3,8,bfx
,,,bir,,,65.59,-144.36,274,7,bir
,,,b#l,,,57.0,-177.7,0,7,b#l
,,,bls,,,61.95,-151.0,44,7,bls
,,,W Kodiak Island,AK,US,57.27,-154.56,0,7,btl
KBVR,BVR,,Beaver Rim,WY,US,42.58,-108.28,2072,9,bvr
KCKN,CKN,,Crookston Muni,MN,US,47.86,-96.62,273,7,ckn
KCOT,COT,,Cotulla,TX,US,28.45,-99.22,140,7,cot
,,,crr,,,65.0,-120.0,332,7,crr
CWKX,WKX,71222,Dease Lake,BC,CA,58.42,-130.0,793,7,cwkx
CWZV,WZV,71107,Cape Saint James,BC,CA,51.94,-131.02,92,7,cwzv
CYCB,YCB,71925,Cambridge Bay,NU,CA,69.1,-105.1,27,5,cycb
CYDA,YDA,71966,Dawson,YK,CA,64.05,-139.13,369,6,cyda
CYEV,YEV,71957,Inuvik,NT,CA,68.3,-133.5,68,5,cyev
CYFS,YFS,71946,Fort Simpson,NT,CA,61.8,-121.2,169,6,cyfs
CYOC,YOC,,Old Crow Airport,YK,CA,67.57,-139.84,251,6,cyoc
CYQH,YQH,71953,Watson Lake,YK,CA,60.12,-128.82,690,6,cyqh
CYQQ,YQQ,71893,Comox,BC,CA,49.73,-124.9,24,6,cyqq
CYSY,YSY,71051,Sachs Harbour,NT,CA,72.0,-125.27,86,6,cysy
CYVQ,YVQ,71043,Norman Wells,NT,CA,65.28,-126.8,74,5,cyvq
CYWO,YWO,71496,Lupin,NU,CA,65.77,-111.25,494,6,cywo
CYXS,YXS,71908,Prince George,BC,CA,53.89,-122.68,691,0,cyxs
