icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
K1V4,1V4,72614,St. Johnsbury,VT,US,44.42,-72.02,210,7,1v4
,,99405,Lake Worth,FL,US,26.7,-80.96,5,8,2is
,,,3j2,,,31.0,-79.0,0,7,3j2
K4BL,4BL,72472,Blanding,UT,US,37.62,-109.47,1840,7,4bl
K4BQ,4BQ,72667,Broadus,MT,US,45.44,-105.4,922,9,4bq
K4HV,4HV,72473,Hanksville,UT,US,38.38,-110.72,1314,7,4hv
KOMK,OMK,72789,Omak,WA,US,48.42,-119.53,382,7,4om
K6R0,6R0,,Slidell,LA,US,30.33,-89.82,8,8,6ro
KSPD,SPD,,Springfield,CO,US,37.28,-102.61,1335,7,8v7
,,,95e,,,33.8,-106.64,1474,7,95e
K9B6,9B6,,Sewel Ridge,ME,US,43.0,-68.0,150,8,9b6
,,,abl,,,34.1,-86.1,304,7,abl
KADM,ADM,,Ardmore,OK,US,34.303,-97.02,232,4,adm
,,,afa,,,48.0,-65.0,0,7,afa
KAGR,AGR,74796,Avon Park,FL,US,27.65,-81.3333333333,20,8,agr
KANW,ANW,,Ainsworth,NE,US,42.6,-99.9,777,8,aih
KAJO,AJO,,Corona,CA,US,33.898,-117.602,163,8,ajo
KAKO,AKO,,Akron/Washington,CO,US,40.1743,-103.215,1421,4,ako
,,,alta,,,40.55,-111.57,2246,7,alta
KANJ,ANJ,72734,Sault Ste Marie,MI,US,46.485,-84.366,218,0,anj
,,,appl,,,42.99,-70.62,0,7,appl
KAPX,APX,72634,Gaylord/Alpena/WFO,MI,US,44.9,-84.7166666667,446,8,apx
KAQQ,AQQ,,Apalachicola,FL,US,29.7333333333,-85.0333333333,5,8,aqq
,,,ath,,,42.3,-102.4,1188,7,ath
,,,atl1,,,37.2,-74.8,0,7,atl1
,,,atl2,,,36.05,-74.25,0,7,atl2
,,,atl3,,,32.8,-77.2,0,7,atl3
,,,atl4,,,38.6,-73.75,0,7,atl4
K56N,56N,,Sandy Hook CGS,NJ,US,40.42,-73.98,1,8,atlh
KAWH,AWH,,Wildhorse Reservoir,NV,US,41.67,-115.79,1902,7,awh
,,,b015,,,42.75,-124.86,0,7,b015
,,,b#1,,,34.9,-73.0,0,7,b#1
,,,b#2,,,32.3,-75.2,0,7,b#2
,,,b#3,,,29.3,-77.4,0,7,b#3
,,,b40,,,33.05,-114.24,362,7,b40
,,,b41,,,31.52,-110.31,1526,7,b41
,,,b42,,,32.05,-107.86,1326,7,b42
,,,b43,,,30.44,-104.32,1501,7,b43
,,,b44,,,28.38,-110.33,315,7,b44
,,,b45,,,26.52,-98.79,104,7,b45
,,,b46,,,28.7,-96.01,2,7,b46
,,,b47,,,29.83,-91.59,1,7,b47
,,,b48,,,25.19,-80.67,1,7,b48
,,,b#4,,,28.9,-78.5,0,7,b#4
,,,b#5,,,25.9,-89.7,0,7,b#5
,,,b#6,,,25.9,-93.6,0,7,b#6
,,,b#7,,,25.9,-85.9,0,7,b#7
,,,b#8,,,27.9,-95.0,0,7,b#8
,,,b#9,,,27.0,-96.5,0,7,b#9
KBAB,BAB,,Marysville/Beale AFB,CA,US,39.14,-121.44,34,6,bab
,,,b#a,,,40.5,-69.4,0,7,b#a
KBAX,BAX,,Bad Axe,MI,US,43.79,-82.99,234,7,bax
,,,b#b,,,41.1,-66.6,0,7,b#b
KBBD,BBD,,Brady,TX,US,31.179,-99.324,557,8,bbd
,,,b#d,,,42.5,-130.5,0,7,b#d
,,,Bridgeport,CA,US,38.3,-119.16,2321,9,bdg
,,,bds,,,33.64,-102.95,1184,7,bds
,,,b#f,,,46.1,-131.0,0,7,b#f
,,,South Bakersfield,CA,US,35.24,-119.03,151,6,bfl
,,,b#g,,,40.9,-137.5,0,7,b#g
KREJ,REJ,72661,Redig,SD,US,45.27,-103.54,922,8,bh1
