icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
K5J0,5J0,,John Day State,OR,US,44.3833333333,-118.966666667,1127,8,k5j0
,,,afa,,,48.02,-65.04,0,7,afa
KTYR,TYR,,Tyler/Pounds Field,TX,US,32.35,-95.4,165,4,ktyr
KOQU,OQU,,N. Kingston/Quon,RI,US,41.61,-71.42,6,7,koqu
MMVR,VER,76692,Veracruz/Gen Heriberto Vara,,MX,19.15,-96.18,16,7,mmvr
KUIL,UIL,72797,Quillayute State,WA,US,47.96,-124.55,54,2,uil
,,,b#6,,,25.9,-93.58,0,7,b#6
KLWA,LWA,,South Haven Area Rgnl,MI,US,42.351,-86.256,203,8,lwa
KREJ,REJ,72661,Redig,SD,US,45.22,-103.61,955,8,bh1
,,,wxk,,,69.53,-120.86,197,7,wxk
,,,ls2,,,47.56,-86.53,183,7,ls2
,,,g003,,,44.5,-122.64,445,7,g003
KRDU,RDU,72306,Raleigh-Durham,NC,US,35.88,-78.78,130,2,krdu
SKBO,,80222,Bogota/Eldorado,,CO,4.7,-74.1166666667,2548,6,skbo
PABT,BTT,70174,Bettles Field,AK,US,66.92,-151.52,195,6,pabt
KMGM,MGM,72226,Montgomery/Danne,AL,US,32.3,-86.4,63,4,kmgm
KDMW,DMW,,Westminster,MD,US,39.61,-77.05,188,8,w54
KJAY,JAY,,Jay Peak,VT,US,44.97,-72.56,355,8,jayv
TISX,,78547,Christiansted/Alexander,,VI,17.7,-64.8,19,6,tisx
KESC,ESC,72648,Escanaba,MI,US,45.73,-87.08,187,7,kesc
KJKL,JKL,,Jackson,KY,US,37.58,-83.32,416,5,kjkl
KLAA,LAA,72463,Lamar,CO,US,38.07,-102.68,1119,4,laa
KUCA,UCA,,Utica,NY,US,43.15,-75.3833333333,228,4,kuca
,,,atl4,,,38.56,-73.79,0,7,atl4
MUHA,,78224,Havana/Jose Martinez,,CU,22.98,-82.4,64,0,muha
CYQH,YQH,71953,Watson Lake,YK,CA,60.12,-128.82,690,6,cyqh
TDPD,,78905,Melville Hall Ar,,DM,15.55,-61.3,14,7,tdpd
KBVX,BVX,,Batesville,AR,US,35.73,-91.65,141,7,kbvx
KHKY,HKY,,Hickory,NC,US,35.76,-81.38,354,6,khky
KAUS,AUS,72254,Austin/Bergstrom Intl,TX,US,30.183,-97.68,166,3,kaus
,,,g007,,,44.06,-120.54,1352,7,g007
KSLE,SLE,72694,Salem/Mcnary,OR,US,44.93,-123.02,59,2,ksle
KNBK,NBK,,New Brunswick,NJ,US,40.47,-74.4,25,8,rutg
MSSS,,78663,Ilopango/San Salvador,,SV,13.7,-89.12,616,6,msss
KVCT,VCT,72255,Victoria Rgnl,TX,US,28.86,-96.92,31,6,kvct
,,,b46,,,28.7,-96.01,2,7,b46
,,,a#e,,,60.97,-149.25,640,7,a#e
,,,efl,,,60.0,-120.0,449,7,efl
,,,coa,,,36.15,-120.32,369,7,coa
,,,lin,,,35.62,-87.85,188,7,lin
CYYT,YYT,71801,St. Johns/Torbay,NF,CA,47.62,-52.75,140,5,cyyt
,,,mrp,,,48.35,-113.28,1768,7,mrp
CYVP,YVP,71906,Kuujjuaq,QB,CA,58.11,-68.42,60,5,cyvp
,,,nck,,,60.02,-151.56,172,7,nck
,,,lhs,,,35.59,-119.72,133,7,lhs
KFMY,FMY,,Fort Myers/Page Field,FL,US,26.58,-81.87,4,6,kfmy
KMCO,MCO,72205,Orlando Jetport,FL,US,28.43,-81.32,29,2,kmco
