icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,N44W73,,,44.00,-73.00,-999,,N44W73
,,,N42W105,,,42.00,-105.00,-999,,N42W105
,,,N42W101,,,42.00,-101.00,-999,,N42W101
,,,N39W105,,,39.00,-105.00,-999,,N39W105
,,,N46W93,,,46.00,-93.00,-999,,N46W93
,,,N41W80,,,41.00,-80.00,-999,,N41W80
,,,N38W98,,,38.00,-98.00,-999,,N38W98
,,,N49W80,,,49.00,-80.00,-999,,N49W80
,,,N35W87,,,35.00,-87.00,-999,,N35W87
,,,N44W71,,,44.00,-71.00,-999,,N44W71
,,,N36W102,,,36.00,-102.00,-999,,N36W102
,,,N45W98,,,45.00,-98.00,-999,,N45W98
,,,BRO,,,25.90,-97.43,-999,,BRO
,,,N30W77,,,30.00,-77.00,-999,,N30W77
,,,N32W104,,,32.00,-104.00,-999,,N32W104
,,,N36W72,,,36.00,-72.00,-999,,N36W72
,,,N48W91,,,48.00,-91.00,-999,,N48W91
,,,N47W96,,,47.00,-96.00,-999,,N47W96
,,,N33W98,,,33.00,-98.00,-999,,N33W98
,,,N49W97,,,49.00,-97.00,-999,,N49W97
,,,N38W74,,,38.00,-74.00,-999,,N38W74
,,,N40W100,,,40.00,-100.00,-999,,N40W100
,,,N41W97,,,41.00,-97.00,-999,,N41W97
,,,N32W78,,,32.00,-78.00,-999,,N32W78
,,,NKX,,,32.87,-117.15,-999,,NKX
,,,SLE,,,44.92,-123.02,-999,,SLE
,,,N30W106,,,30.00,-106.00,-999,,N30W106
,,,N38W77,,,38.00,-77.00,-999,,N38W77
,,,N47W78,,,47.00,-78.00,-999,,N47W78
,,,N40W79,,,40.00,-79.00,-999,,N40W79
,,,N32W96,,,32.00,-96.00,-999,,N32W96
,,,N35W81,,,35.00,-81.00,-999,,N35W81
,,,N41W75,,,41.00,-75.00,-999,,N41W75
,,,N42W73,,,42.00,-73.00,-999,,N42W73
,,,N39W98,,,39.00,-98.00,-999,,N39W98
,,,OAX,,,41.32,-96.37,-999,,OAX
,,,N36W94,,,36.00,-94.00,-999,,N36W94
,,,N35W72,,,35.00,-72.00,-999,,N35W72
,,,N35W106,,,35.00,-106.00,-999,,N35W106
,,,PIT,,,40.53,-80.23,-999,,PIT
,,,N40W75,,,40.00,-75.00,-999,,N40W75
,,,N44W85,,,44.00,-85.00,-999,,N44W85
,,,N41W101,,,41.00,-101.00,-999,,N41W101
,,,TUS,,,32.23,-110.96,-999,,TUS
,,,N33W100,,,33.00,-100.00,-999,,N33W100
,,,N44W101,,,44.00,-101.00,-999,,N44W101
,,,N35W103,,,35.00,-103.00,-999,,N35W103
,,,N41W105,,,41.00,-105.00,-999,,N41W105
,,,LCH,,,30.12,-93.22,-999,,LCH
,,,N36W106,,,36.00,-106.00,-999,,N36W106
,,,OUN,,,35.23,-97.47,-999,,OUN
,,,N47W87,,,47.00,-87.00,-999,,N47W87
,,,MFL,,,25.75,-80.38,-999,,MFL
,,,N48W73,,,48.00,-73.00,-999,,N48W73
,,,N40W94,,,40.00,-94.00,-999,,N40W94
,,,N42W87,,,42.00,-87.00,-999,,N42W87
,,,N49W96,,,49.00,-96.00,-999,,N49W96
,,,N36W86,,,36.00,-86.00,-999,,N36W86
,,,N38W72,,,38.00,-72.00,-999,,N38W72
,,,N49W85,,,49.00,-85.00,-999,,N49W85
,,,N42W80,,,42.00,-80.00,-999,,N42W80
,,,N43W97,,,43.00,-97.00,-999,,N43W97
,,,N31W77,,,31.00,-77.00,-999,,N31W77
,,,N40W93,,,40.00,-93.00,-999,,N40W93
,,,N30W84,,,30.00,-84.00,-999,,N30W84
,,,N37W79,,,37.00,-79.00,-999,,N37W79
,,,N44W89,,,44.00,-89.00,-999,,N44W89
,,,N38W84,,,38.00,-84.00,-999,,N38W84
,,,N44W81,,,44.00,-81.00,-999,,N44W81
,,,N45W81,,,45.00,-81.00,-999,,N45W81
,,,LZK,,,34.83,-92.27,-999,,LZK
,,,N34W93,,,34.00,-93.00,-999,,N34W93
,,,N37W88,,,37.00,-88.00,-999,,N37W88
