icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,,,,46.75,-92.71,0,,N46.75W-92.71
,,,,,,47.26,-120.15,0,,N47.26W-120.15
,,,,,,39.66,-73.00,0,,N39.66W-73.00
,,,,,,46.38,-113.92,0,,N46.38W-113.92
,,,,,,35.40,-93.99,0,,N35.40W-93.99
,,,,,,29.14,-101.90,0,,N29.14W-101.90
,,,,,,48.83,-120.66,0,,N48.83W-120.66
,,,,,,39.41,-71.99,0,,N39.41W-71.99
,,,,,,40.20,-92.43,0,,N40.20W-92.43
,,,,,,36.64,-123.56,0,,N36.64W-123.56
,,,,,,34.27,-122.83,0,,N34.27W-122.83
,,,,,,33.82,-115.71,0,,N33.82W-115.71
,,,,,,48.65,-115.64,0,,N48.65W-115.64
,,,,,,47.08,-80.66,0,,N47.08W-80.66
,,,,,,48.38,-128.02,0,,N48.38W-128.02
,,,,,,27.66,-89.21,0,,N27.66W-89.21
,,,,,,29.14,-113.91,0,,N29.14W-113.91
,,,,,,43.78,-72.36,0,,N43.78W-72.36
,,,,,,31.79,-118.22,0,,N31.79W-118.22
,,,,,,36.57,-82.60,0,,N36.57W-82.60
,,,,,,40.37,-85.93,0,,N40.37W-85.93
,,,,,,46.15,-104.49,0,,N46.15W-104.49
,,,,,,30.15,-112.20,0,,N30.15W-112.20
,,,,,,42.13,-99.88,0,,N42.13W-99.88
,,,,,,30.25,-111.27,0,,N30.25W-111.27
,,,,,,46.82,-108.07,0,,N46.82W-108.07
,,,,,,44.53,-104.40,0,,N44.53W-104.40
,,,,,,49.23,-108.36,0,,N49.23W-108.36
,,,,,,31.71,-78.89,0,,N31.71W-78.89
,,,,,,40.73,-82.57,0,,N40.73W-82.57
,,,,,,30.68,-97.23,0,,N30.68W-97.23
,,,,,,33.97,-74.15,0,,N33.97W-74.15
,,,,,,25.61,-85.94,0,,N25.61W-85.94
,,,,,,48.76,-87.52,0,,N48.76W-87.52
,,,,,,28.33,-101.90,0,,N28.33W-101.90
,,,,,,26.60,-95.63,0,,N26.60W-95.63
,,,,,,31.75,-89.54,0,,N31.75W-89.54
,,,,,,45.51,-125.56,0,,N45.51W-125.56
,,,,,,26.76,-88.44,0,,N26.76W-88.44
,,,,,,47.08,-121.31,0,,N47.08W-121.31
,,,,,,43.72,-75.92,0,,N43.72W-75.92
,,,,,,41.70,-74.41,0,,N41.70W-74.41
,,,,,,35.67,-114.06,0,,N35.67W-114.06
,,,,,,40.56,-81.52,0,,N40.56W-81.52
,,,,,,26.35,-109.89,0,,N26.35W-109.89
,,,,,,28.11,-115.58,0,,N28.11W-115.58
,,,,,,46.03,-67.59,0,,N46.03W-67.59
,,,,,,35.64,-77.69,0,,N35.64W-77.69
,,,,,,29.25,-88.97,0,,N29.25W-88.97
,,,,,,25.09,-104.49,0,,N25.09W-104.49
,,,,,,31.94,-117.29,0,,N31.94W-117.29
,,,,,,26.27,-110.77,0,,N26.27W-110.77
,,,,,,47.35,-69.38,0,,N47.35W-69.38
,,,,,,44.33,-93.02,0,,N44.33W-93.02
,,,,,,31.22,-109.50,0,,N31.22W-109.50
,,,,,,42.95,-102.09,0,,N42.95W-102.09
,,,,,,39.57,-115.86,0,,N39.57W-115.86
,,,,,,46.48,-66.07,0,,N46.48W-66.07
,,,,,,29.37,-100.92,0,,DRT
,,,,,,48.08,-88.89,0,,N48.08W-88.89
,,,,,,30.95,-112.31,0,,N30.95W-112.31
,,,,,,25.19,-118.62,0,,N25.19W-118.62
,,,,,,31.55,-100.04,0,,N31.55W-100.04
,,,,,,31.63,-82.81,0,,N31.63W-82.81
,,,,,,25.34,-117.76,0,,N25.34W-117.76
,,,,,,38.89,-87.31,0,,N38.89W-87.31
,,,,,,47.49,-123.90,0,,N47.49W-123.90
,,,,,,30.41,-92.56,0,,N30.41W-92.56
,,,,,,29.80,-106.56,0,,N29.80W-106.56
,,,,,,48.36,-109.47,0,,N48.36W-109.47
,,,,,,33.88,-105.88,0,,N33.88W-105.88
,,,,,,28.76,-80.67,0,,N28.76W-80.67
,,,,,,38.49,-117.75,0,,N38.49W-117.75
,,,,,,45.91,-78.64,0,,N45.91W-78.64
,,,,,,46.99,-103.35,0,,N46.99W-103.35
,,,,,,36.08,-84.77,0,,N36.08W-84.77
,,,,,,50.09,-107.22,0,,N50.09W-107.22
,,,,,,29.56,-116.79,0,,N29.56W-116.79
,,,,,,40.27,-108.47,0,,N40.27W-108.47
,,,,,,32.30,-104.82,0,,N32.30W-104.82
,,,,,,39.76,-81.74,0,,N39.76W-81.74
,,,,,,42.71,-75.16,0,,N42.71W-75.16
,,,,,,37.20,-81.39,0,,N37.20W-81.39
,,,,,,39.80,-124.60,0,,N39.80W-124.60
,,,,,,43.35,-78.38,0,,N43.35W-78.38
,,,,,,45.29,-126.67,0,,N45.29W-126.67
,,,,,,27.84,-117.37,0,,N27.84W-117.37
,,,,,,31.15,-117.12,0,,N31.15W-117.12
,,,,,,29.93,-102.84,0,,N29.93W-102.84
,,,,,,29.14,-100.98,0,,N29.14W-100.98
,,,,,,30.45,-84.30,0,,TLH
,,,,,,30.73,-78.21,0,,N30.73W-78.21
,,,,,,38.61,-79.92,0,,N38.61W-79.92
,,,,,,32.97,-107.76,0,,N32.97W-107.76
,,,,,,47.79,-98.58,0,,N47.79W-98.58
,,,,,,42.22,-69.57,0,,N42.22W-69.57
,,,,,,27.55,-88.31,0,,N27.55W-88.31
,,,,,,31.00,-118.05,0,,N31.00W-118.05
,,,,,,49.94,-119.40,0,,WLW
,,,,,,40.63,-113.92,0,,N40.63W-113.92
,,,,,,27.61,-79.11,0,,N27.61W-79.11
,,,,,,41.98,-72.00,0,,N41.98W-72.00
,,,,,,36.04,-79.64,0,,N36.04W-79.64
,,,,,,44.93,-124.15,0,,N44.93W-124.15
,,,,,,30.05,-118.79,0,,N30.05W-118.79
,,,,,,38.87,-99.93,0,,N38.87W-99.93
,,,,,,45.50,-81.17,0,,N45.50W-81.17
,,,,,,28.97,-77.78,0,,N28.97W-77.78
,,,,,,46.88,-95.07,0,,N46.88W-95.07
,,,,,,49.07,-91.16,0,,N49.07W-91.16
,,,,,,46.09,-71.28,0,,N46.09W-71.28
,,,,,,36.35,-86.76,0,,N36.35W-86.76
,,,,,,49.43,-79.83,0,,N49.43W-79.83
,,,,,,42.99,-69.19,0,,N42.99W-69.19
,,,,,,47.05,-115.26,0,,N47.05W-115.26
,,,,,,30.71,-98.17,0,,N30.71W-98.17
,,,,,,48.88,-113.23,0,,N48.88W-113.23
,,,,,,50.88,-107.30,0,,N50.88W-107.30
,,,,,,25.08,-114.16,0,,N25.08W-114.16
,,,,,,35.61,-120.15,0,,N35.61W-120.15
,,,,,,27.93,-91.90,0,,N27.93W-91.90
,,,,,,26.42,-92.97,0,,N26.42W-92.97
,,,,,,22.80,-79.50,0,,N22.80W-79.50
,,,,,,42.79,-116.58,0,,N42.79W-116.58
,,,,,,38.01,-125.07,0,,N38.01W-125.07
,,,,,,40.46,-97.77,0,,N40.46W-97.77
,,,,,,28.15,-81.75,0,,N28.15W-81.75
,,,,,,33.85,-120.70,0,,N33.85W-120.70
,,,,,,26.97,-111.76,0,,N26.97W-111.76
,,,,,,33.67,-121.65,0,,N33.67W-121.65
,,,,,,45.57,-113.76,0,,N45.57W-113.76
