icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,10035,Schleswig,,DE,54.53,9.55,48,2,10035
,,10184,Greifswald,,DE,54.10,13.40,6,2,10184
,,10393,Lin,,DE,52.22,14.12,115,2,10393
,,10548,Meiningen,,DE,50.57,10.37,450,2,10548
,,10739,Stuttgart,,DE,48.83,9.20,315,2,10739
,,10868,Muenchen,,DE,48.25,11.55,489,2,10868
,,11035,Wien,,AT,48.25,16.37,200,2,11035
,,11520,Prague,,CZ,50.00,14.45,303,2,11520
,,11747,Prostejov,,CZ,49.45,17.13,216,2,11747
,,11952,Poprad,,SK,49.03,20.32,701,2,11952
,,12120,Leba,,PL,54.75,17.53,2,2,12120
,,12374,Warsaw,,PL,52.40,20.97,96,2,12374
,,12425,Wroclaw,,PL,51.13,16.98,116,2,12425
,,12843,Budapest,,HU,47.43,19.18,139,2,12843
,,13275,Belgrade,,RS,44.77,20.42,203,2,13275
,,16113,Levaldigi,,IT,44.53,7.62,386,2,16113
,,16144,San Pietro Capofiume,,IT,44.65,11.62,38,2,16144
,,17030,Samsun City,,TR,41.28,36.33,4,2,17030
,,17130,Ankara,,TR,39.95,32.88,894,2,17130
,,17220,Izmir,,TR,38.43,27.17,25,2,17220
,,17351,Adana,,TR,37.05,35.35,28,2,17351
,,20046,Polargmo,,RU,80.62,58.05,22,2,20046
,,20292,Mys Chelyuskin,,RU,77.72,104.30,15,2,20292
UODD,,20674,Dikson Island,,RU,73.53,80.40,47,2,20674
,,21432,Kotel'nyy Island,,RU,76.00,137.90,10,2,21432
UE38,,21824,Tiksi,,RU,71.58,128.92,8,2,21824
ESPA,LLA,02185,Lulea,,SE,65.55,22.13,16,2,2185
,,22217,Kandalaksha,,RU,67.15,32.35,26,2,22217
,,22271,Shoyna,,RU,67.88,44.13,16,2,22271
,,22522,Rabocheostrovsk,,RU,64.98,34.80,10,2,22522
ULPB,PES,22820,Petrozavodsk,,RU,61.82,34.27,109,2,22820
,,22845,Kargopol,,RU,61.50,38.93,121,2,22845
ULAB,,23205,Naryan-Mar,,RU,67.65,53.02,7,2,23205
USDD,SLY,23330,Salekhard,,RU,66.53,66.53,16,2,23330
UOTT,THX,23472,Turukhansk,,RU,65.78,87.95,32,2,23472
ESNN,SDL,02365,Sundsvall,,SE,62.53,17.47,6,2,2365
UNKT,,23884,Bor,,RU,61.60,90.00,63,2,23884
USSI,,23921,Ivdel',,RU,60.68,60.43,101,2,23921
,,23955,Aleksandrovskoe,,RU,60.43,77.87,47,2,23955
UEBV,,24266,Verkhoyansk,,RU,67.55,133.38,137,2,24266
,,24507,Tura,,RU,64.27,100.23,186,2,24507
UENW,VYI,24641,Vilyuysk,,RU,63.77,121.62,107,2,24641
UEMJ,,24688,Oymyakon,,RU,63.27,143.15,745,2,24688
UERR,MJZ,24726,Mirny,,RU,62.55,113.88,347,2,24726
UNIW,,24908,Vanavara,,RU,60.33,102.27,260,2,24908
UEMO,,24944,Olekminsk,,RU,60.40,120.42,226,2,24944
UESS,CSS,25123,Cherskiy,,RU,68.80,161.28,32,2,25123
ESGG,GOT,02527,Gothenburg,,SE,57.67,12.30,155,2,2527
UESU,ZKP,25400,Zyryanka,,RU,65.73,150.90,43,2,25400
,,25428,Omolon,,RU,65.23,160.50,265,2,25428
UHMS,,25703,Seymchan,,RU,62.92,152.42,207,2,25703
,,26298,Bologoe,,RU,57.90,34.05,178,2,26298
