icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
PANC,ANC,70273,Anchorage,AK,US,61.17,-150.0,38,5,ANC
PANT,ANN,70398,Annette Island,AK,US,55.04,-131.57,36,5,ANN
PABR,BRW,70026,Barrow,AK,US,71.29,-156.77,7,5,BRW
,,70027,Barrow ARM-NSA,AK,US,71.3166666667,-156.616666667,7,8,
PABE,BET,70219,Bethel,AK,US,60.78,-161.8,41,5,BET
PACD,CDB,70316,Cold Bay,AK,US,55.21,-162.72,30,5,CDB
PASY,SYA,70414,Shemya,AK,US,52.72,174.12,31,5,SYA
PAFA,FAI,70261,Fairbanks,AK,US,64.82,-147.87,132,5,FAI
PAKN,AKN,70326,King Salmon,AK,US,58.68,-156.65,17,5,AKN
PADQ,ADQ,70350,Kodiak,AK,US,57.76,-152.5,34,5,ADQ
PAOT,OTZ,70133,Kotzebue,AK,US,66.87,-162.64,3,5,OTZ
PAMC,MCG,70231,McGrath,AK,US,62.95,-155.61,103,5,MCG
PAOM,OME,70200,Nome,AK,US,64.5,-165.44,11,5,OME
PASN,SNP,70308,St Paul Island,AK,US,57.15,-170.22,29,5,SNP
PAYA,YAK,70361,Yakutat,AK,US,59.52,-139.67,11,5,YAK
KBMX,BMX,72230,Birmingham,AL,US,33.1666666667,-86.7666666667,197,8,BMX
KLZK,LZK,72340,Little Rock,AR,US,34.84,-92.25,173,8,LZK
KFGZ,FGZ,72376,Flagstaff,AZ,US,35.23,-111.82,2192,8,FGZ
KPSR,PSR,74626,Phoenix,AZ,US,33.4333333333,-112.016666667,342,8,74626
KTUS,TUS,,Tucson,AZ,US,32.12,-110.93,776,2,TUS
KEDW,EDW,72381,Edwards AFB,CA,US,34.91,-117.87,702,3,EDW
KNKX,NKX,72293,San Diego,CA,US,32.88,-117.15,146,5,NKX
KOAK,OAK,72493,Oakland,CA,US,37.7,-122.22,26,1,OAK
KVBG,VBG,72393,Vandenberg AFB,CA,US,34.75,-120.57,112,3,VBG
KDNR,DNR,72469,Denver,CO,US,39.75,-104.866666667,1608,8,DNR
KGJT,GJT,72476,Grand Junction,CO,US,39.12,-108.53,1475,2,GJT
KXMR,XMR,74794,Cocoa Beach,FL,US,28.468,-80.567,3,8,XMR
KJAX,JAX,72206,Jacksonville,FL,US,30.4941,-81.6879,10,0,JAX
KEYW,EYW,72201,Key West,FL,US,24.55,-81.75,5,2,KEY
KMFL,MFL,72202,Miami,FL,US,25.75,-80.3666666667,5,8,MFL
KTLH,TLH,72214,Tallahassee,FL,US,30.4,-84.35,19,3,TLH
KTBW,TBW,72210,Tampa,FL,US,27.7,-82.4,12,8,TBW
KFFC,FFC,72215,Peachtree City,GA,US,33.35,-84.56,262,1,FFC
PHTO,ITO,91285,Hilo,HI,US,19.72,-155.07,12,5,ITO
PHLI,LIH,91165,Lihue,HI,US,21.98,-159.35,45,5,LIH
KDVN,DVN,74455,Davenport,IA,US,41.62,-90.58,230,3,DVN
KBOI,BOI,72681,Boise,ID,US,43.58,-116.22,875,0,BOI
KILX,ILX,74560,Lincoln,IL,US,40.15,-89.3333333333,177,8,ILX
KDDC,DDC,72451,Dodge City,KS,US,37.78,-99.97,789,0,DDC
KTOP,TOP,72456,Topeka,KS,US,39.08,-95.62,268,3,TOP
KLCH,LCH,72240,Lake Charles,LA,US,30.12,-93.22,4,3,LCH
KSHV,SHV,72248,Shreveport,LA,US,32.45,-93.83,83,3,SHV
KLIX,LIX,72233,Slidell,LA,US,30.3333333333,-89.8333333333,7,8,LIX
KCHH,CHH,74494,Chatham,MA,US,41.68,-69.97,16,8,CHH
KCAR,CAR,72712,Caribou,ME,US,46.88,-68.02,191,0,CAR
KGYX,GYX,74389,Gray,ME,US,43.9,-70.25,125,8,GYX
KDTX,DTX,72632,Detroit,MI,US,42.71,-83.47,327,8,DTX
KAPX,APX,72634,Gaylord/Alpena,MI,US,44.9,-84.7166666667,446,8,APX
KMPX,MPX,72649,Twin Cities/Chanhassen,MN,US,44.85,-93.5666666667,288,8,MPX
KINL,INL,72747,International Falls,MN,US,48.58,-93.38,360,1,INL
KSGF,SGF,72440,Springfield,MO,US,37.23,-93.4,390,5,SGF
KJAN,JAN,72235,Jackson,MS,US,32.33,-90.08,91,3,JAN
KGGW,GGW,72768,Glasgow,MT,US,48.21,-106.63,694,2,GGW
KTFX,TFX,72776,Great Falls,MT,US,47.4666666667,-111.383333333,1132,8,TFX
KGSO,GSO,72317,Greensboro,NC,US,36.01,-79.95,275,3,GSO
KMHX,MHX,72305,Morehead/Newport,NC,US,34.7666666667,-76.8666666667,9,8,MHX
KBIS,BIS,72764,Bismarck,ND,US,46.78,-100.75,505,0,BIS
KLBF,LBF,72562,North Platte,NE,US,41.14,-100.68,847,3,LBF
KOAX,OAX,72558,Omaha/Valley,NE,US,41.3166666667,-96.3666666667,350,8,OAX
KABQ,ABQ,72365,Albuquerque,NM,US,35.05,-106.62,1618,0,ABQ
KVEF,VEF,72388,Las Vegas,NV,US,36.05,-115.183333333,694,8,VEF
KDRA,DRA,72387,Desert Research Lab,NV,US,36.62,-116.02,1006,5,DRA
KLKN,LKN,72582,Elko,NV,US,40.8666666667,-115.716666667,1608,8,LKN
KREV,REV,72489,Reno,NV,US,39.5666666667,-119.8,1516,8,REV
KALB,ALB,72518,Albany,NY,US,42.76,-73.8,92,3,ALB
KOKX,OKX,72501,Brookhaven/Upton,NY,US,40.8666666667,-72.8666666667,26,8,OKX
KBUF,BUF,72528,Buffalo,NY,US,42.94,-78.73,211,0,BUF
KILN,ILN,72426,Wilmington,OH,US,39.43,-83.8,322,3,ILN
,LMN,74647,Lamont Profiler,OK,US,36.6833333333,-97.4666666667,306,8,LMN
KOUN,OUN,72357,Norman,OK,US,35.246,-97.472,357,3,OUN
KMFR,MFR,72597,Medford,OR,US,42.38,-122.87,396,0,MFR
KSLE,SLE,72694,Salem,OR,US,44.93,-123.02,59,2,SLE
KPIT,PIT,72520,Pittsburgh,PA,US,40.51,-80.22,357,2,PIT
KCHS,CHS,72208,Charleston,SC,US,32.91,-80.03,13,1,CHS
KABR,ABR,72659,Aberdeen,SD,US,45.46,-98.43,397,3,ABR
KRAP,RAP,,Rapid City,SD,US,44.056,-103.054,965,2,RAP
KBNA,BNA,72327,Nashville,TN,US,36.12,-86.68,210,2,BNA
KAMA,AMA,72363,Amarillo,TX,US,35.23,-101.7,1093,3,AMA
KBRO,BRO,72250,Brownsville,TX,US,25.9,-97.43,7,0,BRO
KCRP,CRP,72251,Corpus Christi,TX,US,27.77,-97.5,14,2,CRP
KDRT,DRT,72261,Del Rio,TX,US,29.38,-100.92,313,2,DRT
KEPZ,EPZ,72364,El Paso,TX,US,31.87,-106.7,1251,8,EPZ
KFWD,FWD,72249,Fort Worth,TX,US,32.8166666667,-97.2833333333,196,8,FWD
KMAF,MAF,72265,Midland,TX,US,31.933,-102.2,874,5,MAF
KSLC,SLC,72572,Salt Lake City,UT,US,40.79,-111.97,1286,0,SLC
KRNK,RNK,72318,Blacksburg,VA,US,37.2,-80.4,648,8,RNK
KWAL,WAL,72402,Wallops Island,VA,US,37.94,-75.47,14,5,WAL
KIAD,IAD,72403,Washington/Dulles,VA,US,38.96,-77.45,93,0,IAD
KUIL,UIL,72797,Quillayute,WA,US,47.96,-124.55,54,2,UIL
KOTX,OTX,72786,Spokane,WA,US,47.68,-117.63,727,8,OTX
KGRB,GRB,72645,Green Bay,WI,US,44.48,-88.13,208,3,GRB
KRIW,RIW,72672,Riverton,WY,US,43.05,-108.45,1697,2,RIW
CWSE,WSE,71119,Edmonton,AB,CA,53.5333333333,-114.083333333,766,8,WSE
CYYE,YYE,71945,Fort Nelson,BC,CA,58.84,-122.6,382,5,YYE
CYLW,YLW,71203,Kelowna,BC,CA,49.97,-119.39,430,1,YLW
CYZT,YZT,71109,Port Hardy,BC,CA,50.69,-127.37,22,0,YZT
CYXS,YXS,71908,Prince George,BC,CA,53.89,-122.68,691,0,YXS
CYYQ,YYQ,71913,Churchill,MB,CA,58.73,-94.07,29,5,YYQ
CYQD,YQD,71867,The Pas,MB,CA,53.98,-101.1,271,5,YQD
CYYR,YYR,71816,Goose Bay,NF,CA,53.33,-60.42,49,5,YYR
CYYT,YYT,71801,St. Johns,NF,CA,47.62,-52.75,140,5,YYT
CYJT,YJT,71815,Stephenville,NF,CA,48.54,-58.55,26,5,YJT
CWSA,WSA,71600,Sable Island,NS,CA,43.94,-60.02,4,5,WSA
CYQI,YQI,71603,Yarmouth,NS,CA,43.84,-66.08,43,5,YQI
CYSM,YSM,71934,Fort Smith,NT,CA,60.01,-112.0,203,5,YSM
CYEV,YEV,71957,Inuvik,NT,CA,68.3,-133.5,68,5,YEV
