state,name,icao,lat,lon,elev
AK,ANCHORAGE INTL,PANC,61.1666666666667,-150.016666666667,38
AK,ANNETTE ISLAND,PANT,55.0333333333333,-131.566666666667,36
AK,BARROW,PABR,71.3,-156.783333333333,7
AK,BARROW ARM-NSA,,71.3166666666667,-156.616666666667,7
AK,BETHEL,PABE,60.7833333333333,-161.8,41
AK,COLD BAY,PACD,55.2,-162.716666666667,30
AK,EARECKSON/SHEMYA,PASY,52.7166666666667,174.116666666667,31
AK,FAIRBANKS,PAFA,64.8166666666667,-147.866666666667,132
AK,KING SALMON,PAKN,58.6833333333333,-156.65,17
AK,KODIAK,PADQ,57.75,-152.5,34
AK,KOTZEBUE,PAOT,66.8666666666667,-162.633333333333,3
AK,MCGRATH,PAMC,62.9666666666667,-155.616666666667,103
AK,NOME,PAOM,64.5,-165.433333333333,11
AK,ST PAUL ISLAND,PASN,57.15,-170.216666666667,29
AK,YAKUTAT,PAYA,59.5166666666667,-139.666666666667,11
AL,BIRMINGHAM,KBMX,33.1666666666667,-86.7666666666667,197
AR,LITTLE ROCK,KLZK,34.8333333333333,-92.2666666666667,173
AZ,FLAGSTAFF,KFGZ,35.2166666666667,-111.816666666667,2192
AZ,PHOENIX,KPSR,33.4333333333333,-112.016666666667,342
AZ,TUCSON,KTUS,32.2333333333333,-110.95,752
CA,EDWARDS AFB,KEDW,34.8833333333333,-117.866666666667,702
CA,SAN DIEGO,KNKX,32.8666666666667,-117.133333333333,146
CA,OAKLAND,KOAK,37.7,-122.216666666667,26
CA,VANDENBERG AFB,KVBG,34.7333333333333,-120.583333333333,112
CO,DENVER,KDNR,39.75,-104.866666666667,1608
CO,GRAND JUNCTION,KGJT,39.1166666666667,-108.516666666667,1475
FL,CAPE CANAVERAL,KXMR,28.4666666666667,-80.5333333333333,3
FL,JACKSONVILLE,KJAX,30.5,-81.6833333333333,10
FL,KEY WEST,KEYW,24.55,-81.7833333333333,5
FL,MIAMI,KMFL,25.75,-80.3666666666667,5
FL,TALLAHASSEE,KTLH,30.4,-84.35,19
FL,TAMPA BAY,KTBW,27.7,-82.4,12
GA,PEACHTREE CITY,KFFC,33.35,-84.5666666666667,262
HI,HILO,PHTO,19.7166666666667,-155.05,12
HI,LIHUE/KAUAI IS,PHLI,21.9666666666667,-159.333333333333,45
IA,DAVENPORT/QUAD CITIES,KDVN,41.6166666666667,-90.5833333333333,230
ID,BOISE,KBOI,43.5666666666667,-116.233333333333,875
IL,LINCOLN,KILX,40.15,-89.3333333333333,177
KS,DODGE CITY,KDDC,37.7666666666667,-99.9666666666667,789
KS,TOPEKA,KTOP,39.0666666666667,-95.6333333333333,268
LA,LAKE CHARLES,KLCH,30.1333333333333,-93.2166666666667,4
LA,SHREVEPORT,KSHV,32.45,-93.8333333333333,83
LA,SLIDELL,KLIX,30.3333333333333,-89.8333333333333,7
MA,CHATHAM,KCHH,41.6666666666667,-69.9666666666667,16
ME,CARIBOU,KCAR,46.8666666666667,-68.0166666666667,191
