icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
KRZR,RZR,,Cleveland,TN,US,35.2,-84.8,262,7,CLD
KIRK,IRK,,Kirksville,MO,US,40.2,-92.6,272,6,KKL
KOQT,OQT,,Oak Ridge,TN,US,35.97,-84.28,330,7,O1K
KMOX,MOX,,Morris,MN,US,45.5,-95.9,343,7,MRS
KACQ,ACQ,,Waseca,MN,US,44.1,-93.5,337,8,WSC
KPHP,PHP,,Philip,SD,US,44.05,-101.6,672,7,PHP
K5R0,5R0,,East Addition B3,TX,US,28.2,-93.7,0,8,S18
KPVW,PVW,,Plainview,TX,US,34.2,-101.7,1040,7,C10
KGWX,GWX,,Columbus AFB,MS,US,33.9,-88.33,108,8,CBN
KEAX,EAX,,Pleasant Hill,MO,US,38.81,-94.26,303,8,EAX
KFDR,FDR,,Frederick,OK,US,34.36,-98.98,386,5,FDR
KMOR,MOR,,Morristown,TN,US,36.17,-83.4,400,8,MOR
KHPX,HPX,,Hopkinton,KY,US,36.74,-87.29,177,8,XRW
KE74,E74,,Safford,AZ,US,32.82,-109.68,900,8,E74
KMLD,MLD,,Malad City,ID,US,42.17,-112.28,1373,6,MLD
KPBG,PBG,,Plattsburgh,NY,US,44.68,-73.52,72,8,PLB
KSPD,SPD,,Springfield,CO,US,37.28,-102.61,1329,7,8V7
KPYX,PYX,,Perryton,TX,US,36.5,-100.8,889,8,G11
KHYR,HYR,,Hayward,WI,US,46.02,-91.45,370,6,HYR
KCBE,CBE,,Cumberland,MD,US,39.62,-78.76,236,7,CBE
KDMW,DMW,,Westminster,MD,US,39.61,-77.01,188,8,W54
CYHM,YHM,71263,Hamilton,ON,CA,43.17,-79.93,238,6,CYHM
CYQG,YQG,71538,Windsor,ON,CA,42.27,-82.97,190,6,CYQG
CYXU,YXU,71623,London,ON,CA,43.03,-81.15,278,6,CYXU
CYYZ,YYZ,71624,Toronto,ON,CA,43.67,-79.63,173,3,CYYZ
CYWA,YWA,71625,Petawawa,ON,CA,45.95,-77.32,130,6,CYWA
CYUL,YUL,71627,Montreal/Dorval,QB,CA,45.47,-73.75,36,0,CYUL
CYMX,YMX,71626,Montreal/Mirabel,QB,CA,45.68,-74.03,82,1,CYMX
CYOW,YOW,71628,Ottawa,ON,CA,45.32,-75.67,114,2,CYOW
CYPQ,YPQ,,Peterborough,ON,CA,44.23,-78.37,191,6,CYPQ
CYQA,YQA,71630,Muskoka,ON,CA,44.97,-79.3,282,6,CYQA
CYVV,YVV,71633,Wiarton,ON,CA,44.75,-81.1,222,6,CYVV
CWMW,WMW,71722,Maniwaki,QB,CA,46.38,-75.97,170,8,CWMW
CYYB,YYB,71731,North Bay,ON,CA,46.37,-79.42,371,6,CYYB
CYXZ,YXZ,71738,Wawa,ON,CA,47.97,-84.78,287,6,CYXZ
KEYW,EYW,72201,Key West,FL,US,24.55,-81.75,5,2,KEYW
KMIA,MIA,,Miami Intl,FL,US,25.82,-80.28,3,0,KMIA
KOPF,OPF,,Miami/Opa Locka,FL,US,25.9,-80.28,16,1,KOPF
KFLL,FLL,,Fort Lauderdale,FL,US,26.07,-80.15,3,6,KFLL
KTMB,TMB,,Miami/Kendall-Tamiami,FL,US,25.65,-80.43,2,7,KTMB
