MEM = DETERMINISTIC
TIME = 160503/0000
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
965.86,420.5,13.99,5.07,4.95210335435,1.85250076579,0.0
959.8,473.6,13.4,4.6,5.22573665517,2.00806555317,0.0
952.33,539.27,12.72,4.43,5.1531569794,1.98017575382,0.0
943.44,617.95,11.9,4.26,4.81808253994,1.87655466784,0.0
933.09,710.1,10.98,4.01,4.17968648565,1.93748649276,0.0
921.28,816.15,10.04,3.42,2.91566142839,2.96699862494,0.0
908.02,936.53,9.32,2.17,0.995652142356,5.82480494177,0.0
893.31,1071.68,8.48,1.16,-0.844470019087,8.7064419405,0.0
877.17,1222.02,7.25,0.83,-2.54342097878,10.9038347908,0.0
859.6,1387.97,5.77,0.72,-3.87913093479,12.6564565859,0.0
840.65,1569.95,4.21,0.37,-4.65976938338,14.366887197,0.0
820.35,1768.36,2.42,0.12,-4.6649856633,15.8707129864,0.0
798.75,1983.62,0.56,-0.41,-3.64092340305,16.3555857562,0.0
775.91,2216.12,-1.05,-1.55,-2.19731907601,15.0805002761,0.0
751.93,2466.26,-2.38,-3.3,-1.89134109242,12.2173201907,0.0
726.92,2734.44,-3.65,-5.57,-3.10644822184,8.88055992826,0.0
700.97,3021.02,-5.14,-8.26,-5.0581792841,6.45789601472,0.0
674.18,3326.4,-6.53,-11.56,-7.42289572138,5.35947176215,0.0
646.69,3650.96,-7.61,-15.47,-9.81069144672,5.02254532131,0.0
618.6,3995.08,-9.88,-17.41,-10.6514274341,4.75123395154,0.0
589.97,4359.14,-12.45,-19.45,-11.0404401974,2.80391461297,0.0
560.86,4743.54,-15.48,-22.3,-10.9853249178,0.608405299944,0.0
531.38,5148.68,-18.76,-26.09,-11.0175228617,-0.72019544082,0.0
501.63,5574.99,-22.38,-30.84,-12.4052069968,-2.49907543036,0.0
471.72,6022.92,-26.26,-34.39,-14.0887296481,-6.53678203817,0.0
441.8,6492.97,-30.38,-35.88,-13.9960844283,-11.6859504919,0.0
411.98,6985.64,-34.75,-38.26,-12.2881290883,-13.9922082892,0.0
382.39,7501.47,-39.11,-44.41,-13.6819454899,-12.4889547263,0.0
353.25,8041.03,-42.3,-50.79,-22.0052574133,-16.2414665958,0.0
324.9,8604.87,-43.42,-56.3,-35.5209225593,-33.3913835377,0.0
297.55,9193.58,-45.3,-59.77,-46.7989850993,-42.5241146083,0.0
271.2,9807.78,-48.37,-64.27,-44.4996650531,-39.7035180485,0.0
245.91,10448.0,-51.06,-72.48,-35.7963213968,-34.8468876617,0.0
221.84,11114.88,-52.72,-80.31,-27.3101925139,-30.1824027607,0.0
199.24,11809.24,-51.52,-81.92,-14.7824810957,-21.5408445142,0.0
178.16,12531.96,-53.11,-79.67,-4.02327043536,-18.6398610723,0.0
158.47,13283.92,-54.29,-82.93,0.133746621556,-15.0253226524,0.0
140.24,14065.97,-54.65,-84.86,6.31977238937,-9.19532588569,0.0
123.47,14878.92,-55.04,-86.69,14.1546061825,-7.82343504428,0.0
108.14,15723.54,-55.42,-86.21,15.948799527,-9.80025930047,0.0
94.22,16600.44,-55.66,-86.54,15.3134694058,-8.29724058379,0.0
81.72,17505.85,-55.67,-86.56,16.0885390331,-5.45819173814,0.0
70.73,18425.02,-55.51,-86.52,16.8895888103,-2.71132099446,0.0
61.19,19346.68,-55.84,-86.9,17.6497661558,-1.66217833868,0.0
52.91,20270.0,-56.35,-87.21,17.0533306159,-3.24075973348,0.0
45.73,21194.61,-56.34,-86.75,14.6046717117,-6.0883120347,0.0
39.53,22120.19,-55.67,-86.1,10.9337846961,-7.25339156473,0.0
34.19,23046.45,-54.72,-86.39,7.67240878161,-5.9663580617,0.0
29.58,23973.18,-53.72,-87.06,6.25445897731,-4.07412021573,0.0
25.61,24900.17,-52.44,-87.46,6.57631011412,-3.27739429383,0.0
22.2,25827.33,-50.65,-87.85,8.12297588092,-3.64379594987,0.0
19.27,26754.56,-48.63,-88.47,10.0369178853,-3.56806512808,0.0
16.74,27681.82,-46.97,-88.78,10.911746298,-3.13095405388,0.0
14.56,28609.09,-45.42,-89.21,11.6384300005,-3.61828332903,0.0
12.67,29536.36,-43.96,-89.73,12.3028131233,-4.56071553876,0.0


MEM = DETERMINISTIC
TIME = 160503/0300
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
966.26,420.5,11.13,5.78,4.750358517,0.547954914319,0.0
960.15,473.6,12.42,5.3,5.1175050288,0.382092573554,0.0
952.65,539.27,11.76,5.15,4.77944516592,0.151870122473,0.0
943.73,617.95,11.22,4.49,4.24922108588,0.481883954532,0.0
933.37,710.1,10.73,3.19,3.73320564592,2.63251120966,0.0
921.56,816.15,10.28,2.38,2.83898988306,6.24692231282,0.0
908.31,936.53,9.57,2.44,1.00212694622,9.31558342302,0.0
893.62,1071.68,8.69,1.96,-1.24690839275,11.4593585481,0.0
877.5,1222.02,7.6,1.47,-2.95910513305,13.380812897,0.0
859.97,1387.97,6.28,0.83,-3.60649525672,15.1267710251,0.0
841.05,1569.95,4.74,0.13,-3.45915314463,16.4148580513,0.0
820.78,1768.36,3.03,-0.58,-3.36270679365,17.0297038073,0.0
799.2,1983.62,1.25,-1.36,-4.25838565314,16.9283323231,0.0
776.39,2216.12,-0.41,-2.45,-6.3306233046,15.4510149009,0.0
752.44,2466.26,-1.79,-4.1,-8.09716805293,11.4869780016,0.0
727.48,2734.44,-2.61,-7.41,-8.46936669873,6.42859921972,0.0
701.62,3021.02,-3.39,-11.62,-7.10500267473,3.2529241998,0.0
675.0,3326.4,-4.27,-15.64,-5.13965787973,-1.24056583811,0.0
647.67,3650.96,-6.06,-19.39,-5.02974759671,-7.10902776406,0.0
619.66,3995.08,-8.76,-22.2,-7.58969770409,-10.9405040304,0.0
591.05,4359.14,-11.8,-25.15,-10.1198987346,-12.1635368557,0.0
561.95,4743.54,-14.58,-30.9,-11.2563184867,-12.6471411081,0.0
532.5,5148.68,-17.72,-35.07,-14.236179484,-12.0347641218,0.0
502.81,5574.99,-20.97,-35.7,-18.7293830018,-10.2752913767,0.0
473.04,6022.92,-24.03,-35.77,-23.2149978657,-9.27123971372,0.0
443.34,6492.97,-27.11,-39.78,-27.4485049862,-11.6003483679,0.0
413.86,6985.64,-30.01,-45.45,-33.8253857213,-17.9928500121,0.0
384.78,7501.47,-32.71,-49.91,-42.5311756645,-25.6463221865,0.0
356.17,8041.03,-36.38,-49.83,-53.9812773649,-31.1409860518,0.0
328.08,8604.87,-41.05,-50.72,-65.1937846351,-35.8702268394,0.0
300.58,9193.58,-45.84,-52.2,-67.8026260965,-43.7796011157,0.0
273.79,9807.78,-50.99,-55.59,-64.6224674696,-48.2207585312,0.0
247.89,10448.0,-55.11,-60.06,-59.4429536803,-46.0090600093,0.0
223.14,11114.88,-57.89,-63.87,-44.6792286201,-44.6636353485,0.0
199.9,11809.24,-56.65,-64.12,-29.1203511988,-34.4348934584,0.0
178.4,12531.96,-55.15,-73.03,-7.13613270351,-20.9382915264,0.0
158.56,13283.92,-55.17,-83.58,0.472930315561,-17.2548591257,0.0
140.24,14065.97,-55.55,-84.32,8.32597306088,-12.5315968801,0.0
123.42,14878.92,-55.66,-86.24,14.7475530907,-14.7218361906,0.0
108.08,15723.54,-55.5,-87.36,13.636531045,-14.205146955,0.0
94.16,16600.44,-55.79,-86.33,14.5580657159,-9.2745107225,0.0
81.66,17505.85,-55.92,-85.88,15.7806178635,-6.70172560091,0.0
70.67,18425.02,-55.8,-86.16,15.9771935161,-4.91827914917,0.0
61.13,19346.68,-56.0,-86.72,15.9324935296,-5.31239189284,0.0
52.85,20270.0,-56.31,-87.03,13.9400235956,-6.71487433921,0.0
45.69,21194.61,-56.11,-86.49,9.91980631271,-7.50773527209,0.0
39.5,22120.19,-55.4,-86.03,6.32148836604,-6.56899835547,0.0
34.16,23046.45,-54.55,-86.35,5.18359824819,-4.72995859139,0.0
29.57,23973.18,-53.44,-86.99,5.38371160457,-3.73203063094,0.0
25.61,24900.17,-51.85,-87.39,5.69351362814,-3.50678367691,0.0
22.21,25827.33,-49.84,-87.76,6.61195767382,-3.24918737857,0.0
19.28,26754.56,-47.89,-88.37,8.73826373571,-2.66655311965,0.0
16.76,27681.82,-46.54,-88.81,10.5270980754,-1.8656851288,0.0
14.58,28609.09,-45.3,-89.3,11.1514006465,-2.01851172104,0.0
12.69,29536.36,-43.94,-89.81,11.4157272321,-2.90558901626,0.0


MEM = DETERMINISTIC
TIME = 160503/0600
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
966.57,420.5,8.49,5.46,3.48528458012,0.803360011353,0.0
960.42,473.6,11.4,5.5,3.34763668793,1.01772803138,0.0
952.9,539.27,11.32,5.04,2.31789505058,1.05437198002,0.0
943.97,617.95,11.13,3.72,2.17590204491,2.58946557451,0.0
933.6,710.1,10.81,2.98,2.74267962141,5.53965066018,0.0
921.79,816.15,10.24,3.02,3.09739021909,8.20133406138,0.0
908.53,936.53,9.6,2.34,3.77430198158,10.5412166267,0.0
893.84,1071.68,8.66,1.9,4.48822507699,12.6392925306,0.0
877.71,1222.02,7.58,1.22,3.57099049134,14.1748188372,0.0
860.18,1387.97,6.25,0.68,1.99748110738,14.6964095602,0.0
841.26,1569.95,4.82,-0.01,0.768083849297,14.6559129161,0.0
821.0,1768.36,3.6,-1.64,-1.15938292963,13.6354645363,0.0
799.48,1983.62,2.42,-3.71,-2.88956056915,12.7390294823,0.0
776.75,2216.12,0.73,-4.51,-3.67549922958,11.2120612307,0.0
752.88,2466.26,-0.77,-5.69,-3.70620364811,7.01163316478,0.0
727.99,2734.44,-1.44,-10.13,-2.92948150937,-0.783308435091,0.0
702.24,3021.02,-1.81,-16.47,-1.6193080566,-10.0758926734,0.0
675.69,3326.4,-3.58,-20.41,-5.23468795678,-12.6438959144,0.0
648.37,3650.96,-5.7,-24.54,-8.10436756419,-12.351809589,0.0
620.4,3995.08,-7.76,-28.64,-10.2901729842,-13.0016031855,0.0
591.9,4359.14,-9.79,-31.72,-11.3667186644,-11.8572465263,0.0
562.99,4743.54,-12.26,-30.21,-12.505781145,-11.064180532,0.0
533.78,5148.68,-14.65,-33.91,-14.5675231106,-12.8701363844,0.0
504.39,5574.99,-17.56,-36.6,-19.4874826132,-18.178731407,0.0
474.93,6022.92,-20.27,-42.37,-25.4934662364,-23.8230023944,0.0
445.53,6492.97,-23.52,-42.37,-28.2522221299,-25.4741519112,0.0
416.28,6985.64,-27.22,-42.03,-29.306627365,-23.732038907,0.0
387.24,7501.47,-31.93,-41.69,-31.0789460575,-25.0954651094,0.0
358.47,8041.03,-36.93,-43.04,-31.4573111536,-33.816573212,0.0
330.13,8604.87,-41.7,-50.09,-31.6350378943,-33.5702867511,0.0
302.42,9193.58,-45.72,-53.81,-36.2989603167,-42.6964081436,0.0
275.52,9807.78,-50.09,-56.75,-44.7563696062,-49.8642780029,0.0
249.51,10448.0,-55.24,-61.99,-47.6285480759,-50.7902624695,0.0
224.51,11114.88,-59.27,-64.94,-42.9486657211,-46.2506342643,0.0
200.85,11809.24,-60.78,-65.15,-27.4241110835,-35.4570668831,0.0
178.8,12531.96,-60.48,-68.79,-14.7095466102,-31.7470221051,0.0
158.62,13283.92,-56.03,-79.72,4.00731030527,-17.9866503987,0.0
140.21,14065.97,-57.0,-85.24,5.27220683043,-20.0394490454,0.0
123.33,14878.92,-55.82,-83.76,11.4146496146,-15.7340050307,0.0
107.99,15723.54,-55.58,-84.6,8.19706434111,-15.3452907356,0.0
94.09,16600.44,-55.47,-86.65,13.6040300618,-4.67362232245,0.0
81.6,17505.85,-56.33,-86.18,15.6318588639,-5.70189327723,0.0
70.6,18425.02,-55.92,-86.24,15.7247553936,-5.38072110176,0.0
61.06,19346.68,-56.68,-86.74,15.272200673,-5.60999849661,0.0
52.77,20270.0,-56.55,-86.95,12.6996104164,-5.25256218547,0.0
45.61,21194.61,-56.38,-86.48,9.62993003856,-4.4618958051,0.0
39.43,22120.19,-55.82,-86.12,8.02182961949,-3.536376127,0.0
34.09,23046.45,-55.27,-86.39,7.44852210878,-2.88909132409,0.0
29.48,23973.18,-54.16,-86.98,7.25757375383,-3.82324754819,0.0
25.52,24900.17,-52.75,-87.39,7.62875849346,-3.36786484455,0.0
22.12,25827.33,-51.27,-87.8,8.57693719511,-2.38665758695,0.0
19.18,26754.56,-49.55,-88.37,10.5148681855,-2.03817031635,0.0
16.66,27681.82,-48.22,-88.96,12.4126825516,-2.14181157604,0.0
14.47,28609.09,-46.89,-89.56,12.9653943275,-2.76534154915,0.0
12.59,29536.36,-45.09,-90.07,12.992450568,-3.48374716858,0.0


MEM = DETERMINISTIC
TIME = 160503/0900
STID = ABR SLAT = 45.45 SLON = -98.42 MALT = -999

PRES, HGHT, TEMP, DEWP, UWIN, VWIN, OMGA
966.05,420.5,5.76,4.29,5.65773850304,-1.77194339409,0.0
959.84,473.6,9.33,5.69,7.64269460614,-1.96799882209,0.0
952.28,539.27,10.17,5.78,6.99758425929,-0.0598455926707,0.0
943.32,617.95,10.07,4.89,4.75504125901,2.12802879724,0.0
932.92,710.1,9.91,3.43,4.14604353151,3.61555018977,0.0
921.09,816.15,9.48,3.03,6.36368034801,4.2264183499,0.0
907.81,936.53,9.05,2.58,9.57535217964,6.34740523944,0.0
893.11,1071.68,8.33,2.04,11.1696148592,8.81490129572,0.0
876.98,1222.02,7.37,1.29,10.7782421134,10.5806613868,0.0
859.45,1387.97,6.29,0.21,9.69012006772,12.6558296645,0.0
840.56,1569.95,5.22,-1.19,8.9628161279,14.2492510897,0.0
820.34,1768.36,4.0,-2.9,7.86017336367,12.5545144626,0.0
798.86,1983.62,2.58,-4.64,6.28312785225,10.5567948278,0.0
776.16,2216.12,0.98,-4.76,4.54191623543,8.59268770193,0.0
752.33,2466.26,-0.24,-6.77,2.92751900319,3.03683371319,0.0
727.55,2734.44,0.24,-16.34,-1.81677352036,-9.58748333512,0.0
701.9,3021.02,-1.43,-17.77,-3.73206836275,-10.4118094603,0.0
675.42,3326.4,-2.66,-24.56,-4.0358206121,-12.3622199154,0.0
648.21,3650.96,-4.72,-27.53,-2.66061311833,-14.175805941,0.0
620.35,3995.08,-6.57,-30.29,-3.07946841407,-16.1738096222,0.0
591.97,4359.14,-8.73,-33.53,-5.87959320704,-18.9353846201,0.0
563.17,4743.54,-11.22,-34.04,-8.40436009187,-22.4665277179,0.0
534.03,5148.68,-14.31,-29.3,-9.01612978609,-24.4787521402,0.0
504.66,5574.99,-17.38,-20.18,-9.866090546,-26.8586372648,0.0
475.22,6022.92,-20.29,-25.99,-11.1785631952,-25.5138588176,0.0
445.81,6492.97,-23.58,-31.2,-12.5922152002,-25.7152684651,0.0
416.52,6985.64,-27.63,-36.2,-12.2471625538,-30.7757604733,0.0
387.43,7501.47,-32.03,-38.75,-12.9834323901,-33.18094472,0.0
358.67,8041.03,-36.39,-43.13,-16.1578289557,-37.3385396594,0.0
330.4,8604.87,-40.77,-47.45,-20.5305458124,-39.3214443319,0.0
302.75,9193.58,-45.33,-51.64,-24.6541075071,-41.7876308456,0.0
