MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
974.388256836,384.304342651,12.6288481712,0.1907989108,-1.46524074674,-3.17616536617,-999.0
966.85100708,450.692306519,12.2641153336,-0.552684816718,-1.94271126986,-3.97139377594,-999.0
956.874163818,539.784466553,11.4108953476,-0.667429238558,-1.79369561672,-4.06365456581,-999.0
943.957220459,653.921746826,10.2404010773,-0.616609305143,-1.68890013695,-4.0243812561,-999.0
928.243902588,796.410150146,8.8928976059,-0.898253858089,-1.39775907397,-3.63936588764,-999.0
906.750762939,972.491259766,9.73434019089,-5.38617429733,0.394497263432,0.474481713772,-999.0
884.411907959,1188.51470947,10.5222678185,-8.59087371826,2.47363536954,-1.51805634275,-999.0
859.785125732,1450.29749756,10.5526567459,-9.46263113022,6.01827454567,-6.75959031582,-999.0
829.796746826,1760.7508667,10.012448597,-11.5742663383,10.2147959232,-8.99545798302,-999.0
793.860357666,2120.16005859,8.53576793671,-14.7064735413,15.6147359848,-8.69641246796,-999.0
753.342498779,2528.57067871,5.8883234024,-18.6881978989,20.6633817673,-7.87420086861,-999.0
711.20491333,2985.63464355,2.83258435726,-21.6107021332,23.4116722107,-11.3172329903,-999.0
667.340039062,3491.19038086,-0.428328214027,-23.4413557053,26.0835990906,-12.514563942,-999.0
623.193414307,4044.34367676,-4.31893939972,-25.0256784439,27.4463233948,-14.7885396957,-999.0
578.949127197,4628.14853516,-8.43437585831,-24.8970973969,29.0037721634,-19.79979496,-999.0
535.511608887,5219.27016602,-12.6428938866,-23.9175361633,31.8197551727,-25.617791748,-999.0
494.561798096,5810.24770508,-17.0193637848,-25.2756700516,33.9689273834,-28.6712831497,-999.0
456.810427856,6400.11367188,-21.7108089447,-28.0576311111,34.4280887604,-35.1103775024,-999.0
421.451824951,6987.87016602,-26.5846073151,-35.3141780853,32.2128509521,-42.953427124,-999.0
388.878323364,7572.88891602,-31.5029979706,-40.9108268738,29.1982543945,-50.2490390778,-999.0
357.599880981,8155.12333984,-36.6170097351,-46.6186565399,27.3525259018,-56.8134746552,-999.0
328.002270508,8735.31103516,-41.882497406,-50.8239513397,27.8881603241,-60.5579544067,-999.0
301.706970215,9312.89453125,-46.8981746674,-52.7932338715,29.2282403946,-60.2571540833,-999.0
277.558938599,9887.06699219,-51.3869674683,-56.3693561554,30.0369897842,-59.0153648376,-999.0
252.516635132,10461.6202148,-55.2503635406,-61.7084400177,33.0539415359,-54.311258316,-999.0
229.877398682,11041.280957,-57.9001918793,-66.4044433594,39.4560295105,-43.951884079,-999.0
209.766899109,11627.5709961,-59.6086139679,-69.1662467957,41.8695716858,-37.4234355927,-999.0
189.913883972,12224.9634766,-59.7904636383,-72.7096351624,53.1319206238,-32.1857679367,-999.0
173.161204529,12841.0991211,-55.962335968,-76.0654022217,55.9577350616,-30.4190925598,-999.0
157.973638916,13474.0389648,-55.537966156,-78.2252975464,58.8435897827,-28.6844022751,-999.0
142.474868774,14118.7045898,-57.3274864197,-79.9144256592,59.4666553497,-21.7436044693,-999.0
128.171179199,14774.497168,-59.8452259064,-80.4167701721,56.0129528046,-17.8099217415,-999.0
115.745133209,15441.4485352,-60.8192474365,-80.4478607178,49.6700214386,-16.263645649,-999.0
102.074190521,16127.2948242,-62.4470836639,-80.4478607178,44.4443412781,-9.12308492661,-999.0
89.9494667053,16838.9291016,-63.9274494171,-80.4478607178,40.6910793304,-7.81187930107,-999.0
80.8469696045,17574.2207031,-62.534141922,-80.4478607178,34.5647188187,-14.5255864143,-999.0
71.7592132568,18336.1207031,-60.6605857849,-80.4478607178,26.1598657608,-14.2500072479,-999.0
63.174023819,19134.1697266,-58.1887226105,-80.4478607178,19.6882856369,-9.66488113403,-999.0
54.5137889862,20072.9666016,-57.11575737,-80.4478607178,12.9922383785,-1.6929616183,-999.0


MEM = MEAN
TIME = 160212/0100
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.204

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
976.361431885,384.204293823,11.7424277306,-0.00795636931434,-2.1169090569,-1.91981993914,-999.0
968.658044434,450.442276001,11.9723825455,-0.580123046041,-2.64686021805,-2.80863291025,-999.0
958.394903564,539.451745605,11.2251172066,-0.714574617147,-1.97524949014,-2.70561590195,-999.0
