SITE,WMO,site,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
KABQ,72365,abq,0.256,0.256,0.267,0.309,0.418,0.568,0.885,0.909,0.683,0.439,0.307,0.263
KABR,72659,abr,0.269,0.264,0.341,0.478,0.739,0.989,1.148,1.096,0.849,0.57,0.375,0.293
PADQ,70350,adq,0.313,0.318,0.277,0.366,0.472,0.676,0.859,0.855,0.685,0.463,0.346,0.316
PAKN,70326,akn,0.266,0.276,0.237,0.336,0.453,0.659,0.844,0.838,0.651,0.418,0.312,0.268
KALB,72518,alb,0.352,0.335,0.43,0.592,0.85,1.132,1.269,1.239,1.043,0.751,0.583,0.446
KAMA,72363,ama,0.29,0.305,0.356,0.444,0.653,0.901,1.098,1.117,0.882,0.582,0.385,0.303
PANC,70273,anc,0.252,0.263,0.231,0.314,0.452,0.673,0.859,0.834,0.642,0.413,0.293,0.27
PANT,70398,ann,0.418,0.392,0.388,0.441,0.561,0.725,0.87,0.89,0.796,0.642,0.466,0.431
KAPX,72634,apx,0.244,0.245,0.303,0.408,0.614,0.881,0.983,0.928,0.754,0.549,0.386,0.276
PABE,70219,bet,0.22,0.238,0.2,0.285,0.424,0.644,0.824,0.806,0.592,0.359,0.269,0.225
KBIS,72764,bis,0.259,0.251,0.318,0.427,0.669,0.904,1.036,0.978,0.754,0.519,0.351,0.277
KBMX,72230,bmx,0.664,0.653,0.753,0.873,1.134,1.475,1.732,1.68,1.428,0.988,0.768,0.694
KBOI,72681,boi,0.373,0.338,0.366,0.418,0.526,0.621,0.675,0.648,0.559,0.471,0.417,0.372
KBRO,72250,bro,0.953,0.95,0.99,1.171,1.409,1.645,1.711,1.786,1.782,1.415,1.145,1.027
PABR,70026,brw,0.122,0.127,0.125,0.188,0.302,0.501,0.637,0.594,0.398,0.241,0.166,0.133
KBUF,72528,buf,0.33,0.308,0.408,0.565,0.801,1.043,1.158,1.135,0.979,0.728,0.538,0.397
KCAR,72712,car,0.245,0.245,0.305,0.432,0.674,0.918,1.064,1.032,0.854,0.621,0.456,0.312
PACD,70316,cdb,0.294,0.303,0.275,0.355,0.464,0.653,0.844,0.859,0.67,0.454,0.362,0.317
KCHH,74494,chh,0.426,0.397,0.482,0.629,0.854,1.09,1.256,1.236,1.033,0.792,0.639,0.495
KCHS,72208,chs,0.731,0.728,0.809,0.913,1.203,1.57,1.812,1.818,1.559,1.114,0.874,0.774
KCRP,72251,crp,0.817,0.829,0.905,1.063,1.34,1.604,1.702,1.769,1.701,1.284,1.015,0.885
KDDC,72451,ddc,0.309,0.316,0.398,0.519,0.773,1.004,1.204,1.199,0.92,0.609,0.415,0.324
KDNR,72469,dnr,0.215,0.214,0.256,0.341,0.505,0.63,0.815,0.808,0.587,0.391,0.272,0.221
KDRT,72261,drt,0.577,0.606,0.692,0.869,1.182,1.45,1.548,1.581,1.465,1.084,0.764,0.613
KDTX,72632,dtx,0.318,0.304,0.394,0.563,0.807,1.01,1.137,1.116,0.936,0.688,0.516,0.375
KDVN,74455,dvn,0.313,0.324,0.43,0.58,0.83,1.131,1.284,1.256,0.931,0.669,0.469,0.351
KEDW,72381,edw,0.385,0.378,0.382,0.391,0.486,0.514,0.683,0.726,0.621,0.464,0.397,0.359
KEPZ,72364,epz,0.329,0.322,0.317,0.356,0.477,0.707,1.085,1.101,0.894,0.576,0.387,0.335
PAFA,70261,fai,0.174,0.194,0.168,0.262,0.413,0.687,0.845,0.779,0.548,0.332,0.216,0.195
KFFC,72215,ffc,0.608,0.605,0.699,0.799,1.061,1.36,1.597,1.574,1.318,0.92,0.719,0.636
KFGZ,72376,fgz,0.231,0.226,0.238,0.268,0.364,0.459,0.8,0.833,0.608,0.39,0.281,0.236
KFWD,72249,fwd,0.528,0.566,0.664,0.831,1.11,1.367,1.523,1.525,1.345,0.965,0.702,0.569
KGGW,72768,ggw,0.27,0.249,0.304,0.392,0.575,0.763,0.856,0.809,0.636,0.468,0.342,0.277
KGJT,72476,gjt,0.278,0.276,0.293,0.339,0.449,0.543,0.782,0.798,0.595,0.42,0.325,0.286
KGRB,72645,grb,0.271,0.272,0.373,0.533,0.793,1.024,1.17,1.131,0.926,0.663,0.455,0.316
KGSO,72317,gso,0.526,0.516,0.625,0.752,1.009,1.28,1.495,1.461,1.207,0.851,0.665,0.568
PGUM,91212,gum,1.535,1.502,1.514,1.64,1.84,1.937,2.118,2.201,2.177,2.093,1.879,1.658
KGYX,74389,gyx,0.31,0.301,0.383,0.517,0.776,1.034,1.184,1.156,0.953,0.701,0.55,0.392
KIAD,72403,iad,0.473,0.441,0.563,0.719,1.005,1.247,1.441,1.402,1.176,0.841,0.649,0.54
KILN,72426,iln,0.407,0.395,0.516,0.684,0.915,1.13,1.285,1.229,1.022,0.748,0.589,0.468
KILX,74560,ilx,0.369,0.378,0.507,0.697,0.95,1.17,1.351,1.289,1.036,0.766,0.577,0.421
KINL,72747,inl,0.202,0.196,0.279,0.39,0.664,0.892,0.997,0.962,0.785,0.543,0.332,0.231
PHTO,91285,ito,1.195,1.181,1.218,1.243,1.285,1.296,1.383,1.426,1.447,1.437,1.392,1.275
KJAN,72235,jan,0.68,0.687,0.785,0.911,1.184,1.515,1.756,1.724,1.459,1.01,0.8,0.727
KJAX,72206,jax,0.768,0.788,0.851,0.928,1.218,1.618,1.814,1.858,1.651,1.186,0.91,0.808
TJSJ,78526,jsj,1.324,1.286,1.31,1.44,1.679,1.711,1.704,1.76,1.816,1.822,1.682,1.447
KEYW,72201,key,1.077,1.067,1.091,1.161,1.422,1.772,1.785,1.866,1.902,1.621,1.298,1.155
PKMR,91376,kmj,1.869,1.816,1.889,2.051,2.118,2.126,2.163,2.191,2.184,2.189,2.133,1.978
KLBF,72562,lbf,0.287,0.283,0.354,0.479,0.709,0.923,1.114,1.075,0.793,0.537,0.367,0.292
KLCH,72240,lch,0.789,0.799,0.884,1.004,1.268,1.611,1.829,1.836,1.624,1.156,0.93,0.846
PHLI,91165,lih,1.092,1.06,1.101,1.145,1.21,1.254,1.317,1.355,1.375,1.369,1.291,1.178
KLIX,72233,lix,0.811,0.818,0.898,0.999,1.254,1.618,1.853,1.872,1.665,1.169,0.952,0.861
KLKN,72582,lkn,0.274,0.259,0.276,0.307,0.39,0.45,0.581,0.562,0.445,0.35,0.301,0.273
KLZK,72340,lzk,0.555,0.564,0.697,0.849,1.104,1.395,1.617,1.561,1.309,0.907,0.71,0.595
KMAF,72265,maf,0.37,0.389,0.423,0.523,0.735,1.01,1.189,1.21,1.052,0.727,0.479,0.384
PAMC,70231,mcg,0.189,0.213,0.183,0.273,0.419,0.685,0.848,0.797,0.566,0.339,0.235,0.203
MMCU,76225,mcv,0.384,0.368,0.36,0.421,0.539,0.801,1.069,1.094,0.986,0.65,0.452,0.395
KMFL,72202,mfl,1.008,1.007,1.049,1.121,1.392,1.77,1.819,1.883,1.893,1.571,1.235,1.087
KMFR,72597,mfr,0.503,0.46,0.483,0.525,0.628,0.732,0.799,0.779,0.681,0.617,0.566,0.5
KMHX,72305,mhx,0.68,0.653,0.75,0.859,1.118,1.433,1.69,1.673,1.438,1.056,0.835,0.731
KMPX,72649,mpx,0.263,0.262,0.364,0.512,0.771,1.008,1.15,1.103,0.885,0.624,0.402,0.294
KNKX,72293,nkx,0.496,0.517,0.513,0.544,0.653,0.735,1.046,1.094,0.927,0.664,0.545,0.467
KOAK,72493,oak,0.591,0.581,0.579,0.578,0.648,0.722,0.772,0.772,0.748,0.688,0.644,0.592
KOAX,72558,oax,0.315,0.324,0.439,0.62,0.873,1.111,1.307,1.253,0.968,0.676,0.469,0.342
KBNA,72327,bna,0.53,0.537,0.655,0.806,1.074,1.342,1.558,1.49,1.256,0.866,0.69,0.593
KOKX,72501,okx,0.413,0.37,0.474,0.63,0.89,1.17,1.309,1.305,1.09,0.788,0.606,0.482
PAOM,70200,ome,0.173,0.188,0.169,0.237,0.379,0.603,0.772,0.746,0.523,0.309,0.223,0.185
KOTX,72786,otx,0.366,0.331,0.361,0.413,0.522,0.647,0.682,0.682,0.599,0.512,0.43,0.356
PAOT,70133,otz,0.153,0.169,0.152,0.228,0.372,0.609,0.783,0.723,0.496,0.298,0.197,0.166
KOUN,72357,oun,0.422,0.45,0.575,0.736,1.026,1.285,1.448,1.432,1.193,0.829,0.604,0.455
KPIT,72520,pit,0.381,0.368,0.471,0.619,0.864,1.088,1.223,1.187,1.018,0.74,0.56,0.453
KREV,72489,rev,0.279,0.259,0.266,0.29,0.367,0.418,0.495,0.459,0.406,0.344,0.302,0.277
KRIW,72672,riw,0.208,0.194,0.226,0.293,0.42,0.513,0.63,0.608,0.476,0.346,0.255,0.213
KRNK,72318,rnk,0.382,0.376,0.45,0.574,0.815,1.076,1.23,1.196,0.968,0.674,0.479,0.401
KSGF,72440,sgf,0.416,0.423,0.555,0.725,0.969,1.215,1.39,1.34,1.104,0.788,0.591,0.458
KSHV,72248,shv,0.648,0.65,0.758,0.915,1.189,1.475,1.709,1.658,1.423,1.008,0.795,0.665
KSLC,72572,slc,0.309,0.302,0.315,0.371,0.479,0.557,0.722,0.717,0.57,0.431,0.352,0.315
KSLE,72694,sle,0.576,0.513,0.537,0.575,0.688,0.796,0.856,0.877,0.804,0.723,0.65,0.565
PASN,70308,snp,0.25,0.265,0.248,0.301,0.423,0.604,0.78,0.807,0.596,0.414,0.333,0.276
NSTU,91765,stu,2.137,2.089,2.073,2.001,1.884,1.722,1.665,1.633,1.729,1.887,1.986,2.021
KTLH,72214,tlh,0.751,0.762,0.832,0.905,1.205,1.644,1.848,1.881,1.651,1.157,0.904,0.791
KTBW,72210,tbw,0.886,0.899,0.951,1.018,1.284,1.691,1.839,1.896,1.805,1.366,1.073,0.947
KTFX,72776,tfx,0.256,0.237,0.273,0.346,0.486,0.632,0.683,0.66,0.531,0.407,0.309,0.251
PTKK,91334,tkk,1.804,1.772,1.829,2.01,2.182,2.214,2.198,2.174,2.177,2.16,2.117,1.984
KTOP,72456,top,0.363,0.381,0.518,0.711,0.979,1.247,1.446,1.393,1.104,0.774,0.555,0.41
PTPN,91348,tpn,1.803,1.76,1.835,2.039,2.148,2.14,2.151,2.121,2.144,2.141,2.081,1.96
PTRO,91408,tro,1.943,1.89,1.863,1.944,2.206,2.22,2.175,2.148,2.138,2.121,2.111,2.056
KTUS,72274,tus,0.388,0.379,0.367,0.389,0.487,0.681,1.257,1.311,0.982,0.61,0.438,0.385
PTYA,91413,tya,1.753,1.727,1.701,1.8,2.103,2.169,2.211,2.214,2.181,2.155,2.046,1.923
KUIL,72797,uil,0.538,0.473,0.491,0.526,0.621,0.746,0.812,0.841,0.79,0.715,0.619,0.529
KRAP,72662,rap,0.253,0.245,0.302,0.403,0.615,0.798,0.942,0.877,0.658,0.466,0.317,0.256
KVBG,72393,vbg,0.569,0.559,0.569,0.574,0.641,0.696,0.824,0.812,0.774,0.659,0.601,0.555
KVEF,72388,vef,0.336,0.327,0.325,0.34,0.439,0.518,0.764,0.773,0.601,0.436,0.362,0.33
KVPS,72221,vps,0.778,0.768,0.818,0.948,1.162,1.546,1.76,1.753,1.519,1.102,0.863,0.827
KWAL,72402,wal,0.531,0.506,0.623,0.766,1.003,1.276,1.5,1.468,1.215,0.89,0.712,0.618
CWMW,71722,wmw,0.244,0.233,0.308,0.447,0.705,0.946,1.062,1.03,0.889,0.629,0.453,0.302
CWPL,71845,wpl,0.156,0.149,0.232,0.292,0.501,0.731,0.89,0.863,0.682,0.435,0.283,0.187
CWSE,71119,wse,0.231,0.216,0.243,0.32,0.477,0.679,0.8,0.769,0.591,0.428,0.295,0.232
KXMR,74794,xmr,0.937,0.954,1.021,1.073,1.319,1.733,1.854,1.913,1.828,1.443,1.147,1.006
PAYA,70361,yak,0.349,0.346,0.304,0.382,0.51,0.703,0.861,0.865,0.732,0.534,0.385,0.364
CYEV,71957,yev,0.129,0.145,0.128,0.21,0.347,0.585,0.759,0.702,0.483,0.289,0.177,0.151
CWLW,71203,ylw,0.371,0.351,0.373,0.425,0.554,0.716,0.799,0.772,0.686,0.552,0.434,0.363
CYMO,71836,ymo,0.166,0.159,0.239,0.349,0.608,0.826,0.999,0.985,0.814,0.561,0.354,0.216
CYQD,71867,yqd,0.181,0.173,0.227,0.319,0.522,0.787,0.941,0.887,0.692,0.44,0.279,0.196
CYXY,71964,yxy,0.192,0.2,0.183,0.242,0.371,0.552,0.673,0.654,0.511,0.353,0.227,0.21
CYZT,71109,yzt,0.502,0.449,0.463,0.5,0.629,0.768,0.881,0.91,0.832,0.723,0.58,0.504
CYZV,71811,yzv,0.192,0.19,0.247,0.376,0.589,0.842,1.007,0.997,0.809,0.581,0.416,0.256
