SITE,WMO,site,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
KABQ,72365,abq,0.109,0.112,0.116,0.121,0.165,0.216,0.224,0.219,0.234,0.18,0.128,0.113
KABR,72659,abr,0.138,0.136,0.179,0.221,0.282,0.301,0.315,0.322,0.312,0.237,0.165,0.137
PADQ,70350,adq,0.159,0.154,0.135,0.142,0.148,0.19,0.212,0.254,0.255,0.221,0.178,0.167
PAKN,70326,akn,0.159,0.146,0.136,0.149,0.142,0.176,0.195,0.246,0.234,0.203,0.18,0.157
KALB,72518,alb,0.253,0.223,0.264,0.308,0.35,0.379,0.38,0.384,0.405,0.337,0.315,0.276
KAMA,72363,ama,0.13,0.135,0.16,0.188,0.227,0.247,0.231,0.244,0.267,0.235,0.172,0.139
PANC,70273,anc,0.129,0.126,0.11,0.113,0.132,0.157,0.168,0.194,0.203,0.177,0.143,0.121
PANT,70398,ann,0.179,0.146,0.147,0.14,0.171,0.178,0.191,0.201,0.227,0.229,0.178,0.172
KAPX,72634,apx,0.148,0.152,0.209,0.237,0.305,0.341,0.348,0.344,0.312,0.285,0.204,0.153
PABE,70219,bet,0.142,0.138,0.126,0.141,0.146,0.166,0.203,0.249,0.21,0.172,0.162,0.139
KBIS,72764,bis,0.131,0.12,0.151,0.184,0.248,0.262,0.285,0.283,0.259,0.2,0.149,0.128
KBMX,72230,bmx,0.371,0.36,0.371,0.364,0.359,0.363,0.311,0.349,0.442,0.45,0.397,0.393
KBOI,72681,boi,0.15,0.137,0.134,0.152,0.186,0.198,0.209,0.2,0.187,0.157,0.169,0.153
KBRO,72250,bro,0.309,0.299,0.305,0.313,0.291,0.325,0.286,0.294,0.382,0.435,0.355,0.333
PABR,70026,brw,0.076,0.079,0.073,0.092,0.12,0.181,0.215,0.23,0.168,0.109,0.092,0.077
KBUF,72528,buf,0.229,0.204,0.26,0.31,0.35,0.363,0.371,0.371,0.384,0.328,0.292,0.247
KCAR,72712,car,0.19,0.17,0.198,0.245,0.29,0.331,0.32,0.333,0.347,0.294,0.27,0.202
PACD,70316,cdb,0.144,0.14,0.144,0.161,0.164,0.199,0.25,0.283,0.252,0.187,0.175,0.153
KCHH,74494,chh,0.307,0.279,0.307,0.334,0.357,0.388,0.403,0.418,0.43,0.382,0.358,0.316
KCHS,72208,chs,0.395,0.372,0.369,0.367,0.357,0.375,0.32,0.336,0.422,0.468,0.419,0.4
KCRP,72251,crp,0.333,0.327,0.343,0.346,0.328,0.33,0.305,0.306,0.431,0.463,0.397,0.374
KDDC,72451,ddc,0.124,0.129,0.164,0.202,0.233,0.261,0.269,0.274,0.295,0.24,0.179,0.139
KDNR,72469,dnr,0.089,0.087,0.092,0.121,0.154,0.176,0.211,0.212,0.186,0.136,0.105,0.09
KDRT,72261,drt,0.241,0.248,0.281,0.318,0.302,0.297,0.293,0.295,0.374,0.386,0.304,0.265
KDTX,72632,dtx,0.216,0.2,0.256,0.306,0.339,0.354,0.373,0.374,0.378,0.319,0.297,0.229
KDVN,74455,dvn,0.187,0.19,0.256,0.289,0.35,0.374,0.405,0.398,0.393,0.325,0.261,0.2
KEDW,72381,edw,0.171,0.155,0.151,0.129,0.166,0.182,0.293,0.311,0.255,0.183,0.159,0.16
KEPZ,72364,epz,0.152,0.154,0.136,0.146,0.194,0.259,0.242,0.239,0.277,0.24,0.171,0.159
PAFA,70261,fai,0.107,0.103,0.089,0.109,0.145,0.17,0.174,0.21,0.184,0.143,0.114,0.101
KFFC,72215,ffc,0.344,0.334,0.339,0.332,0.339,0.346,0.303,0.329,0.411,0.409,0.372,0.357
KFGZ,72376,fgz,0.116,0.111,0.117,0.113,0.151,0.194,0.261,0.244,0.232,0.164,0.124,0.119
KFWD,72249,fwd,0.267,0.278,0.292,0.328,0.314,0.314,0.301,0.304,0.417,0.393,0.325,0.289
KGGW,72768,ggw,0.131,0.108,0.13,0.15,0.2,0.214,0.235,0.219,0.192,0.167,0.146,0.128
KGJT,72476,gjt,0.105,0.108,0.107,0.117,0.154,0.184,0.253,0.254,0.219,0.155,0.119,0.108
KGRB,72645,grb,0.154,0.156,0.234,0.279,0.335,0.342,0.354,0.359,0.354,0.306,0.244,0.181
KGSO,72317,gso,0.31,0.3,0.328,0.332,0.334,0.354,0.338,0.34,0.41,0.391,0.36,0.336
PGUM,91212,gum,0.314,0.323,0.285,0.32,0.311,0.25,0.198,0.196,0.213,0.261,0.353,0.337
KGYX,74389,gyx,0.245,0.225,0.263,0.299,0.335,0.366,0.368,0.385,0.403,0.351,0.328,0.271
KIAD,72403,iad,0.311,0.285,0.329,0.352,0.37,0.391,0.395,0.403,0.436,0.386,0.354,0.331
KILN,72426,iln,0.271,0.25,0.294,0.328,0.349,0.363,0.382,0.389,0.394,0.342,0.328,0.285
KILX,74560,ilx,0.23,0.228,0.294,0.327,0.355,0.368,0.39,0.397,0.408,0.357,0.315,0.247
KINL,72747,inl,0.131,0.129,0.185,0.224,0.309,0.312,0.306,0.31,0.31,0.263,0.173,0.13
PHTO,91285,ito,0.256,0.246,0.242,0.21,0.215,0.185,0.231,0.256,0.261,0.262,0.287,0.263
KJAN,72235,jan,0.359,0.35,0.364,0.363,0.358,0.353,0.323,0.358,0.456,0.448,0.392,0.397
KJAX,72206,jax,0.397,0.383,0.373,0.365,0.355,0.358,0.289,0.306,0.394,0.479,0.407,0.404
TJSJ,78526,jsj,0.227,0.229,0.234,0.282,0.303,0.268,0.267,0.278,0.266,0.275,0.308,0.274
KEYW,72201,key,0.337,0.333,0.304,0.313,0.331,0.289,0.252,0.262,0.265,0.396,0.382,0.349
PKMR,91376,kmj,0.359,0.36,0.315,0.299,0.279,0.242,0.234,0.213,0.205,0.193,0.288,0.367
KLBF,72562,lbf,0.116,0.119,0.142,0.178,0.22,0.235,0.253,0.266,0.264,0.192,0.142,0.119
KLCH,72240,lch,0.384,0.377,0.378,0.37,0.336,0.35,0.293,0.327,0.455,0.483,0.431,0.417
PHLI,91165,lih,0.277,0.261,0.255,0.218,0.219,0.195,0.214,0.23,0.238,0.266,0.284,0.284
KLIX,72233,lix,0.403,0.392,0.39,0.371,0.352,0.342,0.285,0.315,0.439,0.496,0.439,0.426
KLKN,72582,lkn,0.111,0.102,0.099,0.104,0.129,0.142,0.207,0.209,0.165,0.116,0.114,0.112
KLZK,72340,lzk,0.325,0.313,0.335,0.355,0.351,0.349,0.344,0.377,0.452,0.402,0.354,0.344
KMAF,72265,maf,0.174,0.182,0.194,0.228,0.256,0.263,0.255,0.252,0.312,0.292,0.213,0.183
PAMC,70231,mcg,0.121,0.117,0.103,0.125,0.139,0.167,0.185,0.225,0.196,0.16,0.135,0.115
KMFL,72202,mfl,0.356,0.355,0.331,0.331,0.34,0.294,0.246,0.252,0.275,0.41,0.384,0.36
KMFR,72597,mfr,0.188,0.167,0.163,0.165,0.198,0.207,0.209,0.203,0.196,0.191,0.205,0.19
KMHX,72305,mhx,0.387,0.372,0.379,0.362,0.359,0.398,0.382,0.384,0.446,0.451,0.414,0.406
KMPX,72649,mpx,0.147,0.154,0.221,0.265,0.321,0.339,0.352,0.353,0.349,0.295,0.202,0.151
KNKX,72293,nkx,0.221,0.201,0.166,0.159,0.181,0.206,0.367,0.368,0.338,0.245,0.2,0.205
KOAK,72493,oak,0.233,0.22,0.215,0.19,0.196,0.199,0.232,0.214,0.212,0.217,0.237,0.249
KOAX,72558,oax,0.149,0.161,0.226,0.27,0.309,0.328,0.352,0.356,0.364,0.287,0.222,0.162
KBNA,72327,bna,0.305,0.306,0.326,0.338,0.354,0.366,0.356,0.37,0.421,0.384,0.349,0.343
KOKX,72501,okx,0.305,0.258,0.299,0.333,0.372,0.401,0.416,0.428,0.444,0.384,0.349,0.313
PAOM,70200,ome,0.119,0.117,0.107,0.125,0.145,0.174,0.199,0.24,0.2,0.147,0.141,0.12
KOTX,72786,otx,0.16,0.142,0.144,0.157,0.182,0.193,0.205,0.192,0.174,0.174,0.186,0.156
PAOT,70133,otz,0.107,0.108,0.093,0.124,0.147,0.192,0.203,0.235,0.195,0.143,0.126,0.104
KOUN,72357,oun,0.214,0.22,0.271,0.308,0.298,0.305,0.298,0.328,0.393,0.343,0.28,0.234
KPIT,72520,pit,0.253,0.237,0.276,0.31,0.336,0.362,0.369,0.365,0.38,0.332,0.304,0.277
KREV,72489,rev,0.13,0.107,0.109,0.111,0.138,0.155,0.209,0.191,0.147,0.131,0.132,0.129
KRIW,72672,riw,0.089,0.086,0.087,0.105,0.137,0.148,0.189,0.187,0.157,0.111,0.107,0.095
KRNK,72318,rnk,0.247,0.223,0.26,0.278,0.315,0.33,0.329,0.327,0.386,0.327,0.287,0.255
KSGF,72440,sgf,0.241,0.233,0.278,0.313,0.32,0.328,0.345,0.366,0.396,0.355,0.299,0.259
KSHV,72248,shv,0.361,0.351,0.353,0.38,0.349,0.343,0.325,0.365,0.459,0.448,0.382,0.377
KSLC,72572,slc,0.12,0.115,0.11,0.12,0.157,0.172,0.244,0.237,0.206,0.141,0.134,0.121
KSLE,72694,sle,0.224,0.193,0.178,0.178,0.214,0.21,0.216,0.214,0.221,0.222,0.238,0.214
PASN,70308,snp,0.124,0.118,0.126,0.138,0.149,0.192,0.252,0.279,0.223,0.16,0.154,0.127
NSTU,91765,stu,0.293,0.296,0.287,0.294,0.365,0.348,0.368,0.349,0.344,0.31,0.31,0.332
KTLH,72214,tlh,0.4,0.387,0.377,0.366,0.363,0.341,0.288,0.302,0.417,0.495,0.439,0.409
KTBW,72210,tbw,0.386,0.38,0.363,0.347,0.333,0.312,0.256,0.266,0.327,0.455,0.406,0.39
KTFX,72776,tfx,0.119,0.101,0.107,0.127,0.169,0.187,0.197,0.189,0.169,0.142,0.139,0.115
PTKK,91334,tkk,0.439,0.456,0.426,0.38,0.285,0.258,0.225,0.235,0.238,0.229,0.303,0.391
KTOP,72456,top,0.173,0.19,0.258,0.302,0.321,0.343,0.356,0.363,0.398,0.327,0.266,0.203
PTPN,91348,tpn,0.435,0.451,0.39,0.353,0.296,0.231,0.221,0.218,0.231,0.234,0.304,0.382
PTRO,91408,tro,0.37,0.406,0.405,0.372,0.252,0.204,0.209,0.207,0.224,0.218,0.268,0.339
KTUS,72274,tus,0.179,0.168,0.148,0.148,0.191,0.268,0.313,0.297,0.328,0.254,0.182,0.178
PTYA,91413,tya,0.411,0.42,0.424,0.402,0.321,0.242,0.216,0.193,0.226,0.217,0.311,0.384
KUIL,72797,uil,0.213,0.177,0.171,0.176,0.203,0.209,0.21,0.219,0.223,0.233,0.237,0.199
KRAP,72662,rap,0.115,0.109,0.119,0.151,0.196,0.209,0.232,0.238,0.213,0.161,0.134,0.116
KVBG,72393,vbg,0.238,0.214,0.185,0.172,0.17,0.18,0.263,0.251,0.243,0.204,0.215,0.232
KVEF,72388,vef,0.138,0.141,0.124,0.116,0.155,0.179,0.311,0.316,0.247,0.158,0.136,0.139
KVPS,72221,vps,0.417,0.405,0.418,0.377,0.385,0.369,0.321,0.348,0.44,0.499,0.426,0.426
KWAL,72402,wal,0.334,0.315,0.346,0.346,0.362,0.419,0.421,0.428,0.449,0.402,0.372,0.368
CWMW,71722,wmw,0.192,0.17,0.217,0.279,0.338,0.357,0.338,0.356,0.375,0.308,0.264,0.201
KXMR,74794,xmr,0.388,0.381,0.372,0.343,0.324,0.315,0.268,0.27,0.334,0.472,0.388,0.384
PAYA,70361,yak,0.16,0.143,0.134,0.125,0.147,0.163,0.172,0.198,0.22,0.202,0.159,0.151
CYEV,71957,yev,0.089,0.086,0.076,0.103,0.147,0.203,0.212,0.221,0.178,0.129,0.091,0.085
CYXY,71964,yxy,0.1,0.094,0.087,0.097,0.129,0.15,0.143,0.156,0.164,0.144,0.104,0.103
CWLW,71203,ylw,0.149,0.122,0.134,0.142,0.175,0.175,0.202,0.189,0.175,0.194,0.176,0.141
CWSE,71119,wse,0.123,0.099,0.102,0.129,0.17,0.184,0.181,0.177,0.168,0.168,0.139,0.12
CYMO,71836,ymo,0.122,0.117,0.187,0.238,0.333,0.363,0.347,0.344,0.362,0.301,0.214,0.148
CWPL,71845,wpl,0.109,0.104,0.17,0.174,0.27,0.312,0.294,0.315,0.323,0.238,0.163,0.128
CYQD,71867,yqd,0.12,0.113,0.14,0.166,0.249,0.279,0.27,0.256,0.241,0.189,0.141,0.121
CYZT,71109,yzt,0.216,0.171,0.167,0.161,0.196,0.206,0.206,0.229,0.246,0.25,0.238,0.198
CYZV,71811,yzv,0.143,0.141,0.162,0.23,0.276,0.338,0.313,0.321,0.349,0.286,0.257,0.181
MMCU,76225,mcv,0.164,0.155,0.136,0.154,0.194,0.242,0.226,0.228,0.261,0.235,0.172,0.166
