DATE / RAOB	ELEV	REPORT	MUCAPE	MUMR	500TEMP	300 T	7-5 LR	5-3 LR	0-3SH	0-6SH	0-9SH	SRH3	SHIP	MODELb
95052300.DDC	791	6.00	4181	15.3	-9.6	-36.2	7.5	7.1	23.4	19.4	26.8	325	1.9	3.0
91051100.MAF	873	6.00	4692	14.9	-10.8	-37.3	8.8	7.2	14.2	13.2	18.1	-37	1.9	2.7
97061700.OUN	357	5.50	5751	18.8	-9.5	-36.1	7.4	7.1	14.5	23.6	45.9	116	3.1	3.5
99012200.LZK	165	5.00	2240	12.3	-17.3	-41.7	7.6	6.8	23.0	26.3	32.1	294	2.3	3.0
96061200.DDC	791	5.00	2820	13.7	-8.3	-34.7	7.6	7.1	12.9	20.3	15.8	142	1.2	2.5
92072600.DDC	791	5.00	4794	17.4	-4.6	-31.2	6.8	7.0	18.2	17.4	14.6	176	1.0	0.8
91052900.HON	392	5.00	3892	15.2	-12.3	-38.0	8.0	7.0	25.0	40.7	36.0	269	3.4	3.5
90070800.BIS	504	5.00	3717	16.6	-9.8	-33.6	7.7	6.4	12.5	29.8	42.2	202	2.4	2.4
57070300.RAP	966	5.00	4359	15.8	-6.7	-36.0	7.7	7.8	13.9	22.9	39.3	130	1.7	3.4
06040300.LZK	78	5.00	3819	13.7	-14.9	-44.7	8.0	8.2	20.9	26.6	32.6	251	3.9	3.4
99060100.DDC	790	4.75	4387	15.9	-11.3	-38.7	8.0	7.4	15.3	27.7	38.0	209	3.5	3.5
96102100.OUN	362	4.50	2995	12.7	-12.9	-42.6	7.5	8.1	15.6	20.3	28.4	71	1.8	3.0
96081100.LBF	847	4.50	2360	13.3	-8.4	-34.4	6.2	7.0	26.5	26.1	22.0	326	1.0	2.6
96062700.TFX	1130	4.50	3835	13.9	-10.9	-37.2	8.3	7.1	21.8	37.1	44.3	297	3.0	1.6
96051000.TOP	268	4.50	3884	15.6	-11.1	-40.4	8.8	8.0	22.1	18.3	22.3	234	2.2	3.3
96050500.IAD	85	4.50	2432	12.1	-15.2	-41.7	7.2	7.3	15.9	25.0	25.5	36	1.9	1.9
96030700.JAN	91	4.50	2362	14.0	-12.5	-38.9	6.8	7.2	16.8	34.9	36.9	196	1.8	0.6
95060900.MAF	873	4.50	5653	17.8	-8.1	-37.7	8.1	8.0	12.8	18.7	33.5	83	2.2	2.9
95060500.MAF	873	4.50	4358	14.9	-8.6	-40.7	7.6	8.7	16.0	23.2	32.0	181	2.1	2.9
95051700.DDC	791	4.50	4878	15.6	-10.8	-39.2	8.5	7.7	8.9	26.6	40.7	43	3.8	2.6
94060800.LBF	847	4.50	3400	13.0	-9.5	-37.5	7.8	7.6	8.1	18.7	18.4	109	1.5	2.4
94042600.SEP	399	4.50	4409	16.3	-11.5	-41.9	7.4	8.3	21.2	26.7	26.2	138	3.3	3.3
94040300.OUN	362	4.50	2075	10.1	-17.0	-44.2	7.6	7.5	18.7	31.2	39.3	163	1.9	2.1
93101800.SEP	428	4.50	3958	15.7	-10.6	-34.9	7.0	6.5	23.2	31.7	30.5	441	2.6	2.2
93101300.SEP	428	4.50	3151	14.2	-13.1	-36.5	8.0	6.3	15.0	22.3	31.8	307	2.4	2.9
93092200.TOP	270	4.50	3665	16.8	-8.1	-37.9	6.5	8.0	21.3	21.3	37.9	502	1.3	1.3
93092200.OVN	486	4.50	3685	15.4	-11.1	-40.4	8.1	7.9	23.5	31.9	33.2	492	2.9	4.0
93072400.BIS	505	4.50	3597	15.3	-9.8	-38.4	5.8	7.7	14.9	21.0	33.2	263	1.4	2.3
93062700.OVN	400	4.50	3720	15.0	-10.0	-38.2	6.3	7.6	9.4	22.3	28.9	140	1.7	3.1
93060800.OUN	431	4.50	4917	17.0	-9.1	-34.9	7.1	6.9	9.7	30.6	26.7	195	2.8	2.6
93050100.DDC	790	4.50	3206	11.1	-16.5	-44.2	8.0	7.7	15.4	24.0	29.9	194	2.7	3.7
92073000.TOP	268	4.50	4074	16.6	-10.0	-37.8	7.5	7.5	11.8	22.5	22.1	164	2.2	2.4
92073000.OVN	400	4.50	4366	16.6	-11.4	-38.3	7.4	7.3	13.9	22.3	23.7	216	2.7	3.2
92062900.SEP	399	4.50	3761	17.4	-9.6	-33.8	7.8	6.6	13.7	21.8	15.6	248	2.0	2.8
92062800.DDC	791	4.50	2750	13.8	-11.3	-34.2	7.8	6.2	15.2	20.6	41.3	315	1.6	2.9
92062800.AMA	1095	4.50	4069	16.0	-10.3	-36.1	7.9	6.9	16.9	22.8	27.5	150	2.4	3.2
91081400.GTF	1118	4.50	2524	11.5	-13.2	-37.4	8.5	6.6	15.3	25.8	28.9	213	2.0	2.0
91072100.HON	392	4.50	5826	20.1	-6.1	-32.2	6.8	6.9	14.3	22.8	33.9	180	1.8	1.9
91042912.BRO	7	4.50	4471	19.5	-9.8	-38.2	7.7	7.6	13.7	23.1	24.2	254	2.5	-999.0
91032800.FNT	236	4.50	1860	11.3	-17.3	-44.0	7.6	7.4	26.8	47.0	45.4	431	1.8	2.9
90051600.OUN	357	4.50	4398	16.7	-9.0	-36.4	7.6	7.3	23.2	25.5	44.9	180	2.5	3.1
89080400.INL	359	4.50	3953	17.4	-11.5	-30.6	8.3	5.1	7.3	18.6	29.2	36	2.3	1.0
89070300.SEP	399	4.50	5261	18.5	-7.6	-28.8	8.4	5.6	12.9	22.6	1.2	222	2.5	2.9
89062700.GSO	277	4.50	4349	17.6	-7.3	-33.8	6.3	7.1	7.8	14.2	6.4	52	0.9	0.9
89060700.SEP	399	4.50	3510	15.6	-7.9	-33.9	7.0	7.0	9.0	24.8	47.4	130	1.6	2.4
89060400.MAF	873	4.50	3939	14.0	-10.0	-36.2	8.5	7.1	6.6	20.6	33.6	58	2.2	2.2
02043000.FWD	171	4.50	5853	19.4	-10.9	-33.7	8.0	6.1	14.6	29.7	37.1	151	4.4	3.1
02042900.IAD	93	4.50	2553	13.6	-16.7	-41.9	7.3	6.9	24.9	21.1	33.9	373	2.1	2.9
08020600.SHV	79	4.25	2312	13.5	-14.1	-42.1	7.3	7.7	25.8	32.4	43.7	212	2.1	1.8
07080400.RAP	1029	4.25	2983	15.6	-4.1	-30.9	6.2	7.1	18.3	22.7	35.8	270	0.7	0.9
05042200.SGF	387	4.25	2944	12.6	-13.3	-42.7	6.8	8.0	15.1	21.3	15.6	193	1.7	2.2
05042000.LBF	849	4.25	2460	10.1	-15.7	-43.9	8.9	7.8	16.6	15.3	22.3	255	1.4	2.9
05031400.JAN	101	4.25	1382	11.1	-15.7	-40.7	7.6	6.8	19.2	25.5	49.7	161	1.1	2.8
04081000.DNR	1625	4.25	3415	12.9	-9.1	-38.9	8.0	8.1	16.2	15.0	15.4	270	1.2	3.2
04071318.ILX	178	4.25	6811	22.1	-10.9	-36.3	7.9	6.8	15.5	18.7	21.9	131	3.6	2.6
04071300.LBF	849	4.25	7183	19.5	-7.3	-35.7	8.6	7.5	10.3	14.7	20.5	68	2.1	3.7
04071200.GGW	700	4.25	2390	11.0	-13.7	-41.1	8.6	7.5	17.1	22.3	32.0	99	1.7	1.9
04062200.AMA	1099	4.25	3828	13.8	-8.9	-36.5	8.0	7.4	17.8	26.2	40.5	141	2.3	2.3
04053000.OUN	357	4.25	4526	16.8	-7.5	-36.5	7.8	7.7	15.8	24.4	40.4	224	2.1	-999.0
04052200.AMA	1099	4.25	4265	13.7	-8.7	-36.3	7.9	7.4	13.6	21.5	23.9	176	2.0	2.1
04040400.MAF	872	4.25	2746	12.0	-14.7	-43.1	7.0	7.8	14.4	19.5	31.1	262	1.6	2.7
03051000.MHX	11	4.25	4373	17.1	-10.5	-35.1	7.3	6.6	14.1	22.7	23.2	146	2.5	2.1
