FILENAME      CAT     MLMIXR  ML CAPE ML CIN MLCL(MAGL) 0-1SRH 0-6KT   STPC   500 T (C) 500DIR 7-5 LR 0-3(KT) 0-9(KT) 0-3 KM SRH (M2/S2)

00042320.TXK	2	12.9	1702	-1	657	134	61.7	2.3	-14.0	250	6.5	32.8	76.6	166

00042001.PPF	2	13.5	2614	-50	1216	227	59.9	4.7	-12.9	234	7.5	39.7	73.5	244

00032900.FTW	2	13.1	2058	-42	1069	83	49.7	1.3	-15.2	245	8.0	21.9	87.1	126

00032304.SJT	2	11.9	1680	-119	896	119	61.1	1.1	-15.5	212	9.1	38.4	66.9	217

00031622.ATT	2	9.4	1019	-7	1566	12	45.8	0.0	-17.5	249	8.0	34.4	53.7	159

00021323.LRF	2	9.2	1256	-9	1066	82	46.9	0.8	-21.2	249	7.5	32.3	51.4	114

00010323.MEI	2	13.4	1148	-15	769	241	57.2	2.6	-10.0	226	6.1	38.8	71.2	288

00010319.GWO	2	12.8	1168	-9	770	202	66.4	2.4	-13.0	223	7.5	47.3	75.1	246

03050500.UMN	2	13.8	2392	-10	773	341	66.3	8.2	-13.4	237	7.7	49.1	93.8	411

03050500.JBR	2	15.7	2713	-22	862	266	57.8	6.9	-10.7	240	7.1	50.5	82.9	440

03050421.TUL	2	16.1	3621	-15	843	147	63.1	5.3	-11.7	230	7.3	45.6	100.2	160

03050421.MKC	2	13.7	2002	-67	478	479	68.4	8.5	-14.6	224	7.9	48.1	89.8	508

03050420.P#F	2	15.7	3397	-1	660	166	58.5	5.5	-12.7	230	7.8	34.3	100.9	195

03050321.P#T	2	12.7	3156	-2	1967	61	36.2	0.0	-9.8	247	7.5	27.2	67.1	207

03042503.JAN	2	13.5	2568	-27	924	257	44.3	4.9	-15.4	255	7.7	41.1	76.9	279

03041922.PNC	2	11.5	1157	-40	665	212	87.9	2.5	-17.9	223	7.3	46.5	111.5	242

03041523.CDS	2	10.7	1020	-106	1534	326	74.0	1.0	-12.4	234	7.5	56.1	83.8	531

03041522.LBB	2	8.8	883	-53	1986	116	77.2	0.0	-11.7	243	7.5	48.5	87.4	276

03040702.CLN	2	13.1	488	-133	780	363	62.7	0.8	-11.4	244	7.1	33.6	74.1	411

03040623.ESF	2	15.8	1847	-29	621	166	51.8	2.6	-11.0	246	6.8	26.8	50.8	161

03032722.MIA	2	12.4	299	-31	1074	187	48.8	0.4	-10.5	261	5.8	20.5	87.0	197

01061900.ROS	2	13.6	2218	-30	1076	140	67.7	2.9	-11.1	250	8.2	40.5	73.6	279

01061401.LNK	2	17.2	4665	-15	1190	173	39.2	4.3	-10.5	215	8.3	32.6	50.7	217

01061120.ILL	2	14.7	3400	-120	1255	270	56.1	3.4	-10.8	259	8.6	41.9	54.8	448

01060222.LOZ	2	9.7	164	-10	898	117	51.4	0.2	-13.4	270	5.3	39.8	66.8	189

01053000.AMA	2	13.0	2887	-76	1322	166	48.4	2.2	-10.1	246	8.4	38.6	50.6	216

01052902.LHX	2	10.9	1698	-120	1285	185	52.1	1.0	-10.0	251	8.2	38.9	60.5	365

01052118.OZW	2	12.5	494	-2	775	133	33.4	0.4	-10.3	188	5.6	34.2	36.9	174

01052022.MIN	2	16.9	3331	-2	711	122	47.8	3.2	-11.0	244	7.3	36.0	67.7	201

01051022.MIW	2	12.8	2912	-24	1091	65	36.4	1.0	-16.0	255	7.9	28.8	43.0	141

01051001.FBL	2	9.5	2106	-90	1776	330	50.0	1.0	-16.6	265	8.2	42.9	50.3	516

